ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,28706,24462,24462,23389,23389
0.0001,0.8,50,28706,24462,24462,21714,21714
0.0001,0.8,55,28706,24462,24462,18787,18787
0.0001,0.8,60,28706,24462,24462,14871,14871
0.0001,1.0,45,28706,24462,24462,23389,23389
0.0001,1.0,50,28706,24462,24462,21714,21714
0.0001,1.0,55,28706,24462,24462,18787,18787
0.0001,1.0,60,28706,24462,24462,14871,14871
0.0001,1.2,45,28706,24462,24462,23389,23389
0.0001,1.2,50,28706,24462,24462,21714,21714
0.0001,1.2,55,28706,24462,24462,18787,18787
0.0001,1.2,60,28706,24462,24462,14871,14871
0.0001,1.4,45,28706,24462,19100,18346,18346
0.0001,1.4,50,28706,24462,19100,17091,17091
0.0001,1.4,55,28706,24462,19100,14924,14924
0.0001,1.4,60,28706,24462,19100,11903,11903
0.0002,0.8,45,28706,20582,20582,19801,19801
0.0002,0.8,50,28706,20582,20582,18542,18542
0.0002,0.8,55,28706,20582,20582,16302,16302
0.0002,0.8,60,28706,20582,20582,13178,13178
0.0002,1.0,45,28706,20582,20582,19801,19801
0.0002,1.0,50,28706,20582,20582,18542,18542
0.0002,1.0,55,28706,20582,20582,16302,16302
0.0002,1.0,60,28706,20582,20582,13178,13178
0.0002,1.2,45,28706,20582,20582,19801,19801
0.0002,1.2,50,28706,20582,20582,18542,18542
0.0002,1.2,55,28706,20582,20582,16302,16302
0.0002,1.2,60,28706,20582,20582,13178,13178
0.0002,1.4,45,28706,20582,16227,15677,15677
0.0002,1.4,50,28706,20582,16227,14736,14736
0.0002,1.4,55,28706,20582,16227,13099,13099
0.0002,1.4,60,28706,20582,16227,10677,10677
0.0003,0.8,45,28706,17319,17319,16772,16772
0.0003,0.8,50,28706,17319,17319,15878,15878
0.0003,0.8,55,28706,17319,17319,14176,14176
0.0003,0.8,60,28706,17319,17319,11709,11709
0.0003,1.0,45,28706,17319,17319,16772,16772
0.0003,1.0,50,28706,17319,17319,15878,15878
0.0003,1.0,55,28706,17319,17319,14176,14176
0.0003,1.0,60,28706,17319,17319,11709,11709
0.0003,1.2,45,28706,17319,17319,16772,16772
0.0003,1.2,50,28706,17319,17319,15878,15878
0.0003,1.2,55,28706,17319,17319,14176,14176
0.0003,1.2,60,28706,17319,17319,11709,11709
0.0003,1.4,45,28706,17319,13806,13426,13426
0.0003,1.4,50,28706,17319,13806,12759,12759
0.0003,1.4,55,28706,17319,13806,11510,11510
0.0003,1.4,60,28706,17319,13806,9576,9576
0.0004,0.8,45,28706,14494,14494,14126,14126
0.0004,0.8,50,28706,14494,14494,13475,13475
0.0004,0.8,55,28706,14494,14494,12175,12175
0.0004,0.8,60,28706,14494,14494,10270,10270
0.0004,1.0,45,28706,14494,14494,14126,14126
0.0004,1.0,50,28706,14494,14494,13475,13475
0.0004,1.0,55,28706,14494,14494,12175,12175
0.0004,1.0,60,28706,14494,14494,10270,10270
0.0004,1.2,45,28706,14494,14494,14126,14126
0.0004,1.2,50,28706,14494,14494,13475,13475
0.0004,1.2,55,28706,14494,14494,12175,12175
0.0004,1.2,60,28706,14494,14494,10270,10270
0.0004,1.4,45,28706,14494,11663,11402,11402
0.0004,1.4,50,28706,14494,11663,10913,10913
0.0004,1.4,55,28706,14494,11663,9950,9950
0.0004,1.4,60,28706,14494,11663,8441,8441
0.0005,0.8,45,28706,12256,12256,12012,12012
0.0005,0.8,50,28706,12256,12256,11517,11517
0.0005,0.8,55,28706,12256,12256,10545,10545
0.0005,0.8,60,28706,12256,12256,9030,9030
0.0005,1.0,45,28706,12256,12256,12012,12012
0.0005,1.0,50,28706,12256,12256,11517,11517
0.0005,1.0,55,28706,12256,12256,10545,10545
0.0005,1.0,60,28706,12256,12256,9030,9030
0.0005,1.2,45,28706,12256,12256,12012,12012
0.0005,1.2,50,28706,12256,12256,11517,11517
0.0005,1.2,55,28706,12256,12256,10545,10545
0.0005,1.2,60,28706,12256,12256,9030,9030
0.0005,1.4,45,28706,12256,9959,9788,9788
0.0005,1.4,50,28706,12256,9959,9413,9413
0.0005,1.4,55,28706,12256,9959,8692,8692
0.0005,1.4,60,28706,12256,9959,7490,7490
