ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,13177,11371,11371,10897,10897
0.0001,0.8,50,13177,11371,11371,10121,10121
0.0001,0.8,55,13177,11371,11371,8681,8681
0.0001,0.8,60,13177,11371,11371,6796,6796
0.0001,1.0,45,13177,11371,11371,10897,10897
0.0001,1.0,50,13177,11371,11371,10121,10121
0.0001,1.0,55,13177,11371,11371,8681,8681
0.0001,1.0,60,13177,11371,11371,6796,6796
0.0001,1.2,45,13177,11371,11371,10897,10897
0.0001,1.2,50,13177,11371,11371,10121,10121
0.0001,1.2,55,13177,11371,11371,8681,8681
0.0001,1.2,60,13177,11371,11371,6796,6796
0.0001,1.4,45,13177,11371,8931,8597,8597
0.0001,1.4,50,13177,11371,8931,8017,8017
0.0001,1.4,55,13177,11371,8931,6958,6958
0.0001,1.4,60,13177,11371,8931,5496,5496
0.0002,0.8,45,13177,9647,9647,9312,9312
0.0002,0.8,50,13177,9647,9647,8701,8701
0.0002,0.8,55,13177,9647,9647,7588,7588
0.0002,0.8,60,13177,9647,9647,6046,6046
0.0002,1.0,45,13177,9647,9647,9312,9312
0.0002,1.0,50,13177,9647,9647,8701,8701
0.0002,1.0,55,13177,9647,9647,7588,7588
0.0002,1.0,60,13177,9647,9647,6046,6046
0.0002,1.2,45,13177,9647,9647,9312,9312
0.0002,1.2,50,13177,9647,9647,8701,8701
0.0002,1.2,55,13177,9647,9647,7588,7588
0.0002,1.2,60,13177,9647,9647,6046,6046
0.0002,1.4,45,13177,9647,7656,7424,7424
0.0002,1.4,50,13177,9647,7656,6966,6966
0.0002,1.4,55,13177,9647,7656,6161,6161
0.0002,1.4,60,13177,9647,7656,4954,4954
0.0003,0.8,45,13177,8131,8131,7882,7882
0.0003,0.8,50,13177,8131,8131,7451,7451
0.0003,0.8,55,13177,8131,8131,6598,6598
0.0003,0.8,60,13177,8131,8131,5383,5383
0.0003,1.0,45,13177,8131,8131,7882,7882
0.0003,1.0,50,13177,8131,8131,7451,7451
0.0003,1.0,55,13177,8131,8131,6598,6598
0.0003,1.0,60,13177,8131,8131,5383,5383
0.0003,1.2,45,13177,8131,8131,7882,7882
0.0003,1.2,50,13177,8131,8131,7451,7451
0.0003,1.2,55,13177,8131,8131,6598,6598
0.0003,1.2,60,13177,8131,8131,5383,5383
0.0003,1.4,45,13177,8131,6528,6360,6360
0.0003,1.4,50,13177,8131,6528,6040,6040
0.0003,1.4,55,13177,8131,6528,5422,5422
0.0003,1.4,60,13177,8131,6528,4465,4465
0.0004,0.8,45,13177,6872,6872,6707,6707
0.0004,0.8,50,13177,6872,6872,6398,6398
0.0004,0.8,55,13177,6872,6872,5727,5727
0.0004,0.8,60,13177,6872,6872,4779,4779
0.0004,1.0,45,13177,6872,6872,6707,6707
0.0004,1.0,50,13177,6872,6872,6398,6398
0.0004,1.0,55,13177,6872,6872,5727,5727
0.0004,1.0,60,13177,6872,6872,4779,4779
0.0004,1.2,45,13177,6872,6872,6707,6707
0.0004,1.2,50,13177,6872,6872,6398,6398
0.0004,1.2,55,13177,6872,6872,5727,5727
0.0004,1.2,60,13177,6872,6872,4779,4779
0.0004,1.4,45,13177,6872,5594,5482,5482
0.0004,1.4,50,13177,6872,5594,5246,5246
0.0004,1.4,55,13177,6872,5594,4752,4752
0.0004,1.4,60,13177,6872,5594,3988,3988
0.0005,0.8,45,13177,5844,5844,5744,5744
0.0005,0.8,50,13177,5844,5844,5506,5506
0.0005,0.8,55,13177,5844,5844,4998,4998
0.0005,0.8,60,13177,5844,5844,4242,4242
0.0005,1.0,45,13177,5844,5844,5744,5744
0.0005,1.0,50,13177,5844,5844,5506,5506
0.0005,1.0,55,13177,5844,5844,4998,4998
0.0005,1.0,60,13177,5844,5844,4242,4242
0.0005,1.2,45,13177,5844,5844,5744,5744
0.0005,1.2,50,13177,5844,5844,5506,5506
0.0005,1.2,55,13177,5844,5844,4998,4998
0.0005,1.2,60,13177,5844,5844,4242,4242
0.0005,1.4,45,13177,5844,4803,4738,4738
0.0005,1.4,50,13177,5844,4803,4552,4552
0.0005,1.4,55,13177,5844,4803,4180,4180
0.0005,1.4,60,13177,5844,4803,3570,3570
