ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,2096,43.89312977099237,-0.0033396602934504553,0.9974016247807146,185.83954211164274
0.0001,0.8,50,1974,43.76899696048632,-0.008898609423256883,0.9930868630907239,207.84477713894847
0.0001,0.8,55,1739,43.24324324324324,-0.025735520966937826,0.9795743910656927,188.2950086946267
0.0001,0.8,60,1397,43.37866857551897,0.02828400242963808,1.0229936017422943,194.70068209315724
0.0001,1.0,45,2096,43.89312977099237,-0.0033396602934504553,0.9974016247807146,185.83954211164274
0.0001,1.0,50,1974,43.76899696048632,-0.008898609423256883,0.9930868630907239,207.84477713894847
0.0001,1.0,55,1739,43.24324324324324,-0.025735520966937826,0.9795743910656927,188.2950086946267
0.0001,1.0,60,1397,43.37866857551897,0.02828400242963808,1.0229936017422943,194.70068209315724
0.0001,1.2,45,2096,43.89312977099237,-0.0033396602934504553,0.9974016247807146,185.83954211164274
0.0001,1.2,50,1974,43.76899696048632,-0.008898609423256883,0.9930868630907239,207.84477713894847
0.0001,1.2,55,1739,43.24324324324324,-0.025735520966937826,0.9795743910656927,188.2950086946267
0.0001,1.2,60,1397,43.37866857551897,0.02828400242963808,1.0229936017422943,194.70068209315724
0.0001,1.4,45,1669,43.019772318753745,-0.02242899957249567,0.9831250682746348,164.8725994836804
0.0001,1.4,50,1577,43.056436271401395,-0.021425099090840623,0.9838160933657781,193.492016233473
0.0001,1.4,55,1390,42.44604316546763,-0.04244315164021727,0.9674993547321675,186.42884526349278
0.0001,1.4,60,1123,42.742653606411395,0.05407266886436874,1.0428941904095588,170.77229773258063
0.0002,0.8,45,1869,43.17817014446228,-0.033834165192033853,0.9735798749241485,180.31711714719643
0.0002,0.8,50,1764,42.857142857142854,-0.04028290281931041,0.9687751404646483,189.80638980117405
0.0002,0.8,55,1558,42.42618741976894,-0.06267561111093421,0.9503112334058801,181.55867765584588
0.0002,0.8,60,1262,42.70998415213946,0.004283153454836778,1.0034866641346252,183.2819155478514
0.0002,1.0,45,1869,43.17817014446228,-0.033834165192033853,0.9735798749241485,180.31711714719643
0.0002,1.0,50,1764,42.857142857142854,-0.04028290281931041,0.9687751404646483,189.80638980117405
0.0002,1.0,55,1558,42.42618741976894,-0.06267561111093421,0.9503112334058801,181.55867765584588
0.0002,1.0,60,1262,42.70998415213946,0.004283153454836778,1.0034866641346252,183.2819155478514
0.0002,1.2,45,1869,43.17817014446228,-0.033834165192033853,0.9735798749241485,180.31711714719643
0.0002,1.2,50,1764,42.857142857142854,-0.04028290281931041,0.9687751404646483,189.80638980117405
0.0002,1.2,55,1558,42.42618741976894,-0.06267561111093421,0.9503112334058801,181.55867765584588
0.0002,1.2,60,1262,42.70998415213946,0.004283153454836778,1.0034866641346252,183.2819155478514
0.0002,1.4,45,1499,42.76184122748499,-0.04423164447792149,0.9665538063885343,166.7884891201336
0.0002,1.4,50,1422,42.616033755274266,-0.04315411323679981,0.9674255014734564,172.8370278738598
0.0002,1.4,55,1259,42.33518665607625,-0.05793321933772679,0.9553496959985303,185.6518625613406
0.0002,1.4,60,1025,42.63414634146341,0.031198733533118597,1.024887092026843,166.5756955627293
0.0003,0.8,45,1631,43.041079092581235,0.01396867837000025,1.0115039586153607,154.21823243545555
0.0003,0.8,50,1545,42.653721682847895,0.003146547727589362,1.0025567258659938,172.32471555263837
0.0003,0.8,55,1381,42.57784214337437,-0.0032176402473238284,0.9973022590100011,156.489650032708
0.0003,0.8,60,1144,43.00699300699301,0.037795303257911916,1.0319622059604157,160.49374100482817
0.0003,1.0,45,1631,43.041079092581235,0.01396867837000025,1.0115039586153607,154.21823243545555
0.0003,1.0,50,1545,42.653721682847895,0.003146547727589362,1.0025567258659938,172.32471555263837
0.0003,1.0,55,1381,42.57784214337437,-0.0032176402473238284,0.9973022590100011,156.489650032708
0.0003,1.0,60,1144,43.00699300699301,0.037795303257911916,1.0319622059604157,160.49374100482817
0.0003,1.2,45,1631,43.041079092581235,0.01396867837000025,1.0115039586153607,154.21823243545555
0.0003,1.2,50,1545,42.653721682847895,0.003146547727589362,1.0025567258659938,172.32471555263837
0.0003,1.2,55,1381,42.57784214337437,-0.0032176402473238284,0.9973022590100011,156.489650032708
0.0003,1.2,60,1144,43.00699300699301,0.037795303257911916,1.0319622059604157,160.49374100482817
0.0003,1.4,45,1319,42.98711144806672,0.022843372934667767,1.018369119528411,127.51973234193214
0.0003,1.4,50,1257,42.720763723150355,0.011040530403205325,1.0087880033759329,136.93168663320938
0.0003,1.4,55,1128,42.99645390070922,0.027098442683030483,1.0223211950132773,114.83411595613008
0.0003,1.4,60,938,43.17697228144989,0.06704407858429019,1.0559518615082166,123.0323689658345
0.0004,0.8,45,1383,43.817787418655094,0.04111656789369791,1.0350360443688609,140.8705425523294
0.0004,0.8,50,1312,43.21646341463415,0.01962545280443419,1.016443547799269,152.68314124481142
0.0004,0.8,55,1180,42.96610169491525,0.00017341822633437924,1.0001482059762399,130.2548589114938
0.0004,0.8,60,995,43.21608040201005,0.024105003369215155,1.0205810153232857,149.962621158125
0.0004,1.0,45,1383,43.817787418655094,0.04111656789369791,1.0350360443688609,140.8705425523294
0.0004,1.0,50,1312,43.21646341463415,0.01962545280443419,1.016443547799269,152.68314124481142
0.0004,1.0,55,1180,42.96610169491525,0.00017341822633437924,1.0001482059762399,130.2548589114938
0.0004,1.0,60,995,43.21608040201005,0.024105003369215155,1.0205810153232857,149.962621158125
0.0004,1.2,45,1383,43.817787418655094,0.04111656789369791,1.0350360443688609,140.8705425523294
0.0004,1.2,50,1312,43.21646341463415,0.01962545280443419,1.016443547799269,152.68314124481142
0.0004,1.2,55,1180,42.96610169491525,0.00017341822633437924,1.0001482059762399,130.2548589114938
0.0004,1.2,60,995,43.21608040201005,0.024105003369215155,1.0205810153232857,149.962621158125
0.0004,1.4,45,1121,43.44335414808207,0.008059449045018876,1.0065922829072633,127.8037727475863
0.0004,1.4,50,1070,42.89719626168224,-0.02085883671869201,0.9832006776937474,139.49087931779653
0.0004,1.4,55,967,43.12306101344364,-0.005428796297535303,0.9955014728823445,103.03982608357603
0.0004,1.4,60,815,43.31288343558282,0.025691847050426216,1.0214033497315598,126.31255423359065
0.0005,0.8,45,1158,44.04145077720207,0.027591011015948626,1.0236667670780137,156.02243251331214
0.0005,0.8,50,1104,43.47826086956522,0.003543214926060389,1.0029978507198312,165.00502271089596
0.0005,0.8,55,1006,43.240556660039765,0.007282391791144801,1.006293628113865,134.53923907968237
0.0005,0.8,60,859,43.538998835855644,0.028150627599844137,1.024317717057216,157.22160823108584
0.0005,1.0,45,1158,44.04145077720207,0.027591011015948626,1.0236667670780137,156.02243251331214
0.0005,1.0,50,1104,43.47826086956522,0.003543214926060389,1.0029978507198312,165.00502271089596
0.0005,1.0,55,1006,43.240556660039765,0.007282391791144801,1.006293628113865,134.53923907968237
0.0005,1.0,60,859,43.538998835855644,0.028150627599844137,1.024317717057216,157.22160823108584
0.0005,1.2,45,1158,44.04145077720207,0.027591011015948626,1.0236667670780137,156.02243251331214
0.0005,1.2,50,1104,43.47826086956522,0.003543214926060389,1.0029978507198312,165.00502271089596
0.0005,1.2,55,1006,43.240556660039765,0.007282391791144801,1.006293628113865,134.53923907968237
0.0005,1.2,60,859,43.538998835855644,0.028150627599844137,1.024317717057216,157.22160823108584
0.0005,1.4,45,952,43.69747899159664,0.025720067925763007,1.0216108623127371,134.2420884897821
0.0005,1.4,50,914,43.10722100656455,-0.00820925998977384,0.993196724199002,144.39991094428277
0.0005,1.4,55,839,43.2657926102503,0.013396116757887778,1.0114162347540636,110.9037569148481
0.0005,1.4,60,715,43.4965034965035,0.03473339375539962,1.0296708083377148,132.52793500751244
