ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,4008,3721,3721,3591,3591
0.0001,0.8,50,4008,3721,3721,3401,3401
0.0001,0.8,55,4008,3721,3721,3023,3023
0.0001,0.8,60,4008,3721,3721,2435,2435
0.0001,1.0,45,4008,3721,3721,3591,3591
0.0001,1.0,50,4008,3721,3721,3401,3401
0.0001,1.0,55,4008,3721,3721,3023,3023
0.0001,1.0,60,4008,3721,3721,2435,2435
0.0001,1.2,45,4008,3721,3721,3591,3591
0.0001,1.2,50,4008,3721,3721,3401,3401
0.0001,1.2,55,4008,3721,3721,3023,3023
0.0001,1.2,60,4008,3721,3721,2435,2435
0.0001,1.4,45,4008,3721,2936,2838,2838
0.0001,1.4,50,4008,3721,2936,2697,2697
0.0001,1.4,55,4008,3721,2936,2403,2403
0.0001,1.4,60,4008,3721,2936,1946,1946
0.0002,0.8,45,4008,3344,3344,3228,3228
0.0002,0.8,50,4008,3344,3344,3063,3063
0.0002,0.8,55,4008,3344,3344,2731,2731
0.0002,0.8,60,4008,3344,3344,2213,2213
0.0002,1.0,45,4008,3344,3344,3228,3228
0.0002,1.0,50,4008,3344,3344,3063,3063
0.0002,1.0,55,4008,3344,3344,2731,2731
0.0002,1.0,60,4008,3344,3344,2213,2213
0.0002,1.2,45,4008,3344,3344,3228,3228
0.0002,1.2,50,4008,3344,3344,3063,3063
0.0002,1.2,55,4008,3344,3344,2731,2731
0.0002,1.2,60,4008,3344,3344,2213,2213
0.0002,1.4,45,4008,3344,2651,2562,2562
0.0002,1.4,50,4008,3344,2651,2441,2441
0.0002,1.4,55,4008,3344,2651,2185,2185
0.0002,1.4,60,4008,3344,2651,1780,1780
0.0003,0.8,45,4008,2896,2896,2808,2808
0.0003,0.8,50,4008,2896,2896,2678,2678
0.0003,0.8,55,4008,2896,2896,2413,2413
0.0003,0.8,60,4008,2896,2896,1995,1995
0.0003,1.0,45,4008,2896,2896,2808,2808
0.0003,1.0,50,4008,2896,2896,2678,2678
0.0003,1.0,55,4008,2896,2896,2413,2413
0.0003,1.0,60,4008,2896,2896,1995,1995
0.0003,1.2,45,4008,2896,2896,2808,2808
0.0003,1.2,50,4008,2896,2896,2678,2678
0.0003,1.2,55,4008,2896,2896,2413,2413
0.0003,1.2,60,4008,2896,2896,1995,1995
0.0003,1.4,45,4008,2896,2305,2239,2239
0.0003,1.4,50,4008,2896,2305,2144,2144
0.0003,1.4,55,4008,2896,2305,1943,1943
0.0003,1.4,60,4008,2896,2305,1612,1612
0.0004,0.8,45,4008,2466,2466,2398,2398
0.0004,0.8,50,4008,2466,2466,2290,2290
0.0004,0.8,55,4008,2466,2466,2081,2081
0.0004,0.8,60,4008,2466,2466,1748,1748
0.0004,1.0,45,4008,2466,2466,2398,2398
0.0004,1.0,50,4008,2466,2466,2290,2290
0.0004,1.0,55,4008,2466,2466,2081,2081
0.0004,1.0,60,4008,2466,2466,1748,1748
0.0004,1.2,45,4008,2466,2466,2398,2398
0.0004,1.2,50,4008,2466,2466,2290,2290
0.0004,1.2,55,4008,2466,2466,2081,2081
0.0004,1.2,60,4008,2466,2466,1748,1748
0.0004,1.4,45,4008,2466,1977,1925,1925
0.0004,1.4,50,4008,2466,1977,1848,1848
0.0004,1.4,55,4008,2466,1977,1689,1689
0.0004,1.4,60,4008,2466,1977,1421,1421
0.0005,0.8,45,4008,2069,2069,2020,2020
0.0005,0.8,50,4008,2069,2069,1935,1935
0.0005,0.8,55,4008,2069,2069,1783,1783
0.0005,0.8,60,4008,2069,2069,1515,1515
0.0005,1.0,45,4008,2069,2069,2020,2020
0.0005,1.0,50,4008,2069,2069,1935,1935
0.0005,1.0,55,4008,2069,2069,1783,1783
0.0005,1.0,60,4008,2069,2069,1515,1515
0.0005,1.2,45,4008,2069,2069,2020,2020
0.0005,1.2,50,4008,2069,2069,1935,1935
0.0005,1.2,55,4008,2069,2069,1783,1783
0.0005,1.2,60,4008,2069,2069,1515,1515
0.0005,1.4,45,4008,2069,1682,1642,1642
0.0005,1.4,50,4008,2069,1682,1580,1580
0.0005,1.4,55,4008,2069,1682,1468,1468
0.0005,1.4,60,4008,2069,1682,1246,1246
