ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,29013,24699,24699,23618,23618
0.0001,0.8,50,29013,24699,24699,21926,21926
0.0001,0.8,55,29013,24699,24699,18964,18964
0.0001,0.8,60,29013,24699,24699,15006,15006
0.0001,1.0,45,29013,24699,24699,23618,23618
0.0001,1.0,50,29013,24699,24699,21926,21926
0.0001,1.0,55,29013,24699,24699,18964,18964
0.0001,1.0,60,29013,24699,24699,15006,15006
0.0001,1.2,45,29013,24699,24699,23618,23618
0.0001,1.2,50,29013,24699,24699,21926,21926
0.0001,1.2,55,29013,24699,24699,18964,18964
0.0001,1.2,60,29013,24699,24699,15006,15006
0.0001,1.4,45,29013,24699,19286,18526,18526
0.0001,1.4,50,29013,24699,19286,17258,17258
0.0001,1.4,55,29013,24699,19286,15063,15063
0.0001,1.4,60,29013,24699,19286,12013,12013
0.0002,0.8,45,29013,20771,20771,19984,19984
0.0002,0.8,50,29013,20771,20771,18712,18712
0.0002,0.8,55,29013,20771,20771,16448,16448
0.0002,0.8,60,29013,20771,20771,13293,13293
0.0002,1.0,45,29013,20771,20771,19984,19984
0.0002,1.0,50,29013,20771,20771,18712,18712
0.0002,1.0,55,29013,20771,20771,16448,16448
0.0002,1.0,60,29013,20771,20771,13293,13293
0.0002,1.2,45,29013,20771,20771,19984,19984
0.0002,1.2,50,29013,20771,20771,18712,18712
0.0002,1.2,55,29013,20771,20771,16448,16448
0.0002,1.2,60,29013,20771,20771,13293,13293
0.0002,1.4,45,29013,20771,16379,15824,15824
0.0002,1.4,50,29013,20771,16379,14872,14872
0.0002,1.4,55,29013,20771,16379,13217,13217
0.0002,1.4,60,29013,20771,16379,10773,10773
0.0003,0.8,45,29013,17471,17471,16919,16919
0.0003,0.8,50,29013,17471,17471,16015,16015
0.0003,0.8,55,29013,17471,17471,14296,14296
0.0003,0.8,60,29013,17471,17471,11808,11808
0.0003,1.0,45,29013,17471,17471,16919,16919
0.0003,1.0,50,29013,17471,17471,16015,16015
0.0003,1.0,55,29013,17471,17471,14296,14296
0.0003,1.0,60,29013,17471,17471,11808,11808
0.0003,1.2,45,29013,17471,17471,16919,16919
0.0003,1.2,50,29013,17471,17471,16015,16015
0.0003,1.2,55,29013,17471,17471,14296,14296
0.0003,1.2,60,29013,17471,17471,11808,11808
0.0003,1.4,45,29013,17471,13928,13544,13544
0.0003,1.4,50,29013,17471,13928,12867,12867
0.0003,1.4,55,29013,17471,13928,11606,11606
0.0003,1.4,60,29013,17471,13928,9657,9657
0.0004,0.8,45,29013,14610,14610,14239,14239
0.0004,0.8,50,29013,14610,14610,13582,13582
0.0004,0.8,55,29013,14610,14610,12268,12268
0.0004,0.8,60,29013,14610,14610,10349,10349
0.0004,1.0,45,29013,14610,14610,14239,14239
0.0004,1.0,50,29013,14610,14610,13582,13582
0.0004,1.0,55,29013,14610,14610,12268,12268
0.0004,1.0,60,29013,14610,14610,10349,10349
0.0004,1.2,45,29013,14610,14610,14239,14239
0.0004,1.2,50,29013,14610,14610,13582,13582
0.0004,1.2,55,29013,14610,14610,12268,12268
0.0004,1.2,60,29013,14610,14610,10349,10349
0.0004,1.4,45,29013,14610,11759,11496,11496
0.0004,1.4,50,29013,14610,11759,11001,11001
0.0004,1.4,55,29013,14610,11759,10027,10027
0.0004,1.4,60,29013,14610,11759,8508,8508
0.0005,0.8,45,29013,12350,12350,12104,12104
0.0005,0.8,50,29013,12350,12350,11605,11605
0.0005,0.8,55,29013,12350,12350,10623,10623
0.0005,0.8,60,29013,12350,12350,9097,9097
0.0005,1.0,45,29013,12350,12350,12104,12104
0.0005,1.0,50,29013,12350,12350,11605,11605
0.0005,1.0,55,29013,12350,12350,10623,10623
0.0005,1.0,60,29013,12350,12350,9097,9097
0.0005,1.2,45,29013,12350,12350,12104,12104
0.0005,1.2,50,29013,12350,12350,11605,11605
0.0005,1.2,55,29013,12350,12350,10623,10623
0.0005,1.2,60,29013,12350,12350,9097,9097
0.0005,1.4,45,29013,12350,10035,9863,9863
0.0005,1.4,50,29013,12350,10035,9484,9484
0.0005,1.4,55,29013,12350,10035,8756,8756
0.0005,1.4,60,29013,12350,10035,7545,7545
