ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,28352,24179,24179,23118,23118
0.0001,0.8,50,28352,24179,24179,21464,21464
0.0001,0.8,55,28352,24179,24179,18561,18561
0.0001,0.8,60,28352,24179,24179,14698,14698
0.0001,1.0,45,28352,24179,24179,23118,23118
0.0001,1.0,50,28352,24179,24179,21464,21464
0.0001,1.0,55,28352,24179,24179,18561,18561
0.0001,1.0,60,28352,24179,24179,14698,14698
0.0001,1.2,45,28352,24179,24179,23118,23118
0.0001,1.2,50,28352,24179,24179,21464,21464
0.0001,1.2,55,28352,24179,24179,18561,18561
0.0001,1.2,60,28352,24179,24179,14698,14698
0.0001,1.4,45,28352,24179,18864,18114,18114
0.0001,1.4,50,28352,24179,18864,16876,16876
0.0001,1.4,55,28352,24179,18864,14732,14732
0.0001,1.4,60,28352,24179,18864,11754,11754
0.0002,0.8,45,28352,20364,20364,19591,19591
0.0002,0.8,50,28352,20364,20364,18345,18345
0.0002,0.8,55,28352,20364,20364,16121,16121
0.0002,0.8,60,28352,20364,20364,13033,13033
0.0002,1.0,45,28352,20364,20364,19591,19591
0.0002,1.0,50,28352,20364,20364,18345,18345
0.0002,1.0,55,28352,20364,20364,16121,16121
0.0002,1.0,60,28352,20364,20364,13033,13033
0.0002,1.2,45,28352,20364,20364,19591,19591
0.0002,1.2,50,28352,20364,20364,18345,18345
0.0002,1.2,55,28352,20364,20364,16121,16121
0.0002,1.2,60,28352,20364,20364,13033,13033
0.0002,1.4,45,28352,20364,16041,15494,15494
0.0002,1.4,50,28352,20364,16041,14564,14564
0.0002,1.4,55,28352,20364,16041,12942,12942
0.0002,1.4,60,28352,20364,16041,10551,10551
0.0003,0.8,45,28352,17157,17157,16614,16614
0.0003,0.8,50,28352,17157,17157,15728,15728
0.0003,0.8,55,28352,17157,17157,14037,14037
0.0003,0.8,60,28352,17157,17157,11595,11595
0.0003,1.0,45,28352,17157,17157,16614,16614
0.0003,1.0,50,28352,17157,17157,15728,15728
0.0003,1.0,55,28352,17157,17157,14037,14037
0.0003,1.0,60,28352,17157,17157,11595,11595
0.0003,1.2,45,28352,17157,17157,16614,16614
0.0003,1.2,50,28352,17157,17157,15728,15728
0.0003,1.2,55,28352,17157,17157,14037,14037
0.0003,1.2,60,28352,17157,17157,11595,11595
0.0003,1.4,45,28352,17157,13667,13289,13289
0.0003,1.4,50,28352,17157,13667,12628,12628
0.0003,1.4,55,28352,17157,13667,11389,11389
0.0003,1.4,60,28352,17157,13667,9477,9477
0.0004,0.8,45,28352,14374,14374,14008,14008
0.0004,0.8,50,28352,14374,14374,13361,13361
0.0004,0.8,55,28352,14374,14374,12068,12068
0.0004,0.8,60,28352,14374,14374,10181,10181
0.0004,1.0,45,28352,14374,14374,14008,14008
0.0004,1.0,50,28352,14374,14374,13361,13361
0.0004,1.0,55,28352,14374,14374,12068,12068
0.0004,1.0,60,28352,14374,14374,10181,10181
0.0004,1.2,45,28352,14374,14374,14008,14008
0.0004,1.2,50,28352,14374,14374,13361,13361
0.0004,1.2,55,28352,14374,14374,12068,12068
0.0004,1.2,60,28352,14374,14374,10181,10181
0.0004,1.4,45,28352,14374,11558,11298,11298
0.0004,1.4,50,28352,14374,11558,10812,10812
0.0004,1.4,55,28352,14374,11558,9855,9855
0.0004,1.4,60,28352,14374,11558,8363,8363
0.0005,0.8,45,28352,12164,12164,11921,11921
0.0005,0.8,50,28352,12164,12164,11429,11429
0.0005,0.8,55,28352,12164,12164,10463,10463
0.0005,0.8,60,28352,12164,12164,8960,8960
0.0005,1.0,45,28352,12164,12164,11921,11921
0.0005,1.0,50,28352,12164,12164,11429,11429
0.0005,1.0,55,28352,12164,12164,10463,10463
0.0005,1.0,60,28352,12164,12164,8960,8960
0.0005,1.2,45,28352,12164,12164,11921,11921
0.0005,1.2,50,28352,12164,12164,11429,11429
0.0005,1.2,55,28352,12164,12164,10463,10463
0.0005,1.2,60,28352,12164,12164,8960,8960
0.0005,1.4,45,28352,12164,9879,9708,9708
0.0005,1.4,50,28352,12164,9879,9335,9335
0.0005,1.4,55,28352,12164,9879,8619,8619
0.0005,1.4,60,28352,12164,9879,7428,7428
