ts,equity,drawdown_pct
2025-02-28 16:38:00,1002.24,0.0
2025-02-28 19:36:00,1002.3387,0.0
2025-03-01 03:36:00,1002.6624,0.0
2025-03-01 22:47:00,1002.8995,0.0
2025-03-02 18:36:00,1001.5356,-0.136
2025-03-02 21:07:00,1002.0051,-0.0892
2025-03-02 21:39:00,1001.5264,-0.1369
2025-03-03 13:03:00,1002.2654,-0.0632
2025-03-04 18:52:00,1003.9854,0.0
2025-03-05 18:08:00,1002.62,-0.136
2025-03-05 19:48:00,1003.1417,-0.084
2025-03-06 02:52:00,1004.3948,0.0
2025-03-06 22:46:00,1005.4652,0.0
2025-03-07 06:27:00,1004.9333,-0.0529
2025-03-07 15:15:00,1003.5666,-0.1888
2025-03-10 02:18:00,1005.8146,0.0
2025-03-10 03:21:00,1004.9278,-0.0882
2025-03-10 10:26:00,1004.1103,-0.1694
2025-03-11 04:30:00,1005.5529,-0.026
2025-03-11 05:11:00,1006.4182,0.0
2025-03-11 10:13:00,1006.4296,0.0
2025-03-12 08:53:00,1007.4932,0.0
2025-03-12 13:54:00,1006.123,-0.136
2025-03-12 21:57:00,1005.6368,-0.1843
