horizon,trades,winrate,avg_R,profit_factor,max_drawdown
5,6228,46.38728323699422,-0.024838075123162273,0.9541053303126134,254.0716997231167
10,6228,44.749518304431604,-0.10714597104066077,0.857047527110826,767.2445589105571
20,6228,43.4810533076429,-0.0965582497733486,0.9051665855200445,764.6013527479686
30,6228,42.59794476557482,-0.1074528804861522,0.9124890215963648,864.3424381168207
