ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0001,0.8,45,2897,44.18363824646186,0.008339372596185788,1.0068324979984187,234.24705111328225,f93b0f42
0.0001,0.8,50,2743,44.33102442581116,-0.00046335866306384003,0.9996202936233161,226.39430533589638,f93b0f42
0.0001,0.8,55,2431,43.23323735088441,-0.029226332467853514,0.9759899715874749,227.67235680835876,f93b0f42
0.0001,0.8,60,1962,42.86442405708461,-0.032234246515536684,0.9735497644248318,217.19609817314227,f93b0f42
0.0001,1.0,45,2897,44.18363824646186,0.008339372596185788,1.0068324979984187,234.24705111328225,f93b0f42
0.0001,1.0,50,2743,44.33102442581116,-0.00046335866306384003,0.9996202936233161,226.39430533589638,f93b0f42
0.0001,1.0,55,2431,43.23323735088441,-0.029226332467853514,0.9759899715874749,227.67235680835876,f93b0f42
0.0001,1.0,60,1962,42.86442405708461,-0.032234246515536684,0.9735497644248318,217.19609817314227,f93b0f42
0.0001,1.2,45,2897,44.18363824646186,0.008339372596185788,1.0068324979984187,234.24705111328225,f93b0f42
0.0001,1.2,50,2743,44.33102442581116,-0.00046335866306384003,0.9996202936233161,226.39430533589638,f93b0f42
0.0001,1.2,55,2431,43.23323735088441,-0.029226332467853514,0.9759899715874749,227.67235680835876,f93b0f42
0.0001,1.2,60,1962,42.86442405708461,-0.032234246515536684,0.9735497644248318,217.19609817314227,f93b0f42
0.0001,1.4,45,2281,43.095133713283644,-0.022545439224537764,0.9822858056795802,188.4478154955366,f93b0f42
0.0001,1.4,50,2166,43.3056325023084,-0.028628809481738824,0.9774536081243036,229.14248196419146,f93b0f42
0.0001,1.4,55,1927,42.241826673585884,-0.058120080971843825,0.9542325740527694,246.06095708734915,f93b0f42
0.0001,1.4,60,1566,42.08173690932311,-0.0457735014412495,0.9636045088295017,207.05257531656076,f93b0f42
0.0002,0.8,45,2607,44.07364787111623,0.007927462603700332,1.0065880361587933,204.62648130492983,f93b0f42
