ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,3234,3007,3007,2897,2897
0.0001,0.8,50,3234,3007,3007,2743,2743
0.0001,0.8,55,3234,3007,3007,2431,2431
0.0001,0.8,60,3234,3007,3007,1962,1962
0.0001,1.0,45,3234,3007,3007,2897,2897
0.0001,1.0,50,3234,3007,3007,2743,2743
0.0001,1.0,55,3234,3007,3007,2431,2431
0.0001,1.0,60,3234,3007,3007,1962,1962
0.0001,1.2,45,3234,3007,3007,2897,2897
0.0001,1.2,50,3234,3007,3007,2743,2743
0.0001,1.2,55,3234,3007,3007,2431,2431
0.0001,1.2,60,3234,3007,3007,1962,1962
0.0001,1.4,45,3234,3007,2362,2281,2281
0.0001,1.4,50,3234,3007,2362,2166,2166
0.0001,1.4,55,3234,3007,2362,1927,1927
0.0001,1.4,60,3234,3007,2362,1566,1566
0.0002,0.8,45,3234,2705,2705,2607,2607
0.0002,0.8,50,3234,2705,2705,2471,2471
0.0002,0.8,55,3234,2705,2705,2196,2196
0.0002,0.8,60,3234,2705,2705,1778,1778
0.0002,1.0,45,3234,2705,2705,2607,2607
0.0002,1.0,50,3234,2705,2705,2471,2471
0.0002,1.0,55,3234,2705,2705,2196,2196
0.0002,1.0,60,3234,2705,2705,1778,1778
0.0002,1.2,45,3234,2705,2705,2607,2607
0.0002,1.2,50,3234,2705,2705,2471,2471
0.0002,1.2,55,3234,2705,2705,2196,2196
0.0002,1.2,60,3234,2705,2705,1778,1778
0.0002,1.4,45,3234,2705,2136,2062,2062
0.0002,1.4,50,3234,2705,2136,1962,1962
0.0002,1.4,55,3234,2705,2136,1753,1753
0.0002,1.4,60,3234,2705,2136,1430,1430
0.0003,0.8,45,3234,2352,2352,2275,2275
0.0003,0.8,50,3234,2352,2352,2169,2169
0.0003,0.8,55,3234,2352,2352,1947,1947
0.0003,0.8,60,3234,2352,2352,1609,1609
0.0003,1.0,45,3234,2352,2352,2275,2275
0.0003,1.0,50,3234,2352,2352,2169,2169
0.0003,1.0,55,3234,2352,2352,1947,1947
0.0003,1.0,60,3234,2352,2352,1609,1609
0.0003,1.2,45,3234,2352,2352,2275,2275
0.0003,1.2,50,3234,2352,2352,2169,2169
0.0003,1.2,55,3234,2352,2352,1947,1947
0.0003,1.2,60,3234,2352,2352,1609,1609
0.0003,1.4,45,3234,2352,1868,1811,1811
0.0003,1.4,50,3234,2352,1868,1733,1733
0.0003,1.4,55,3234,2352,1868,1568,1568
0.0003,1.4,60,3234,2352,1868,1302,1302
0.0004,0.8,45,3234,2009,2009,1948,1948
0.0004,0.8,50,3234,2009,2009,1862,1862
0.0004,0.8,55,3234,2009,2009,1688,1688
0.0004,0.8,60,3234,2009,2009,1421,1421
0.0004,1.0,45,3234,2009,2009,1948,1948
0.0004,1.0,50,3234,2009,2009,1862,1862
0.0004,1.0,55,3234,2009,2009,1688,1688
0.0004,1.0,60,3234,2009,2009,1421,1421
0.0004,1.2,45,3234,2009,2009,1948,1948
0.0004,1.2,50,3234,2009,2009,1862,1862
0.0004,1.2,55,3234,2009,2009,1688,1688
0.0004,1.2,60,3234,2009,2009,1421,1421
0.0004,1.4,45,3234,2009,1605,1558,1558
0.0004,1.4,50,3234,2009,1605,1496,1496
0.0004,1.4,55,3234,2009,1605,1366,1366
0.0004,1.4,60,3234,2009,1605,1153,1153
0.0005,0.8,45,3234,1695,1695,1650,1650
0.0005,0.8,50,3234,1695,1695,1578,1578
0.0005,0.8,55,3234,1695,1695,1451,1451
0.0005,0.8,60,3234,1695,1695,1235,1235
0.0005,1.0,45,3234,1695,1695,1650,1650
0.0005,1.0,50,3234,1695,1695,1578,1578
0.0005,1.0,55,3234,1695,1695,1451,1451
0.0005,1.0,60,3234,1695,1695,1235,1235
0.0005,1.2,45,3234,1695,1695,1650,1650
0.0005,1.2,50,3234,1695,1695,1578,1578
0.0005,1.2,55,3234,1695,1695,1451,1451
0.0005,1.2,60,3234,1695,1695,1235,1235
0.0005,1.4,45,3234,1695,1374,1337,1337
0.0005,1.4,50,3234,1695,1374,1286,1286
0.0005,1.4,55,3234,1695,1374,1194,1194
0.0005,1.4,60,3234,1695,1374,1015,1015
