ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0001,0.8,45,24187,42.74196882622896,-0.06110584975805904,0.9509966959006918,1702.260546131015,0114253c
0.0001,0.8,50,22463,42.51435694252771,-0.07031509412441962,0.9436436988865339,1813.4983255308832,0114253c
0.0001,0.8,55,19440,42.02160493827161,-0.08401622025025186,0.932577887314497,1814.989719267358,0114253c
0.0001,0.8,60,15381,42.071386775892336,-0.07749054864108426,0.9367766264214701,1367.8983541420444,0114253c
0.0001,1.0,45,24187,42.74196882622896,-0.06110584975805904,0.9509966959006918,1702.260546131015,0114253c
0.0001,1.0,50,22463,42.51435694252771,-0.07031509412441962,0.9436436988865339,1813.4983255308832,0114253c
0.0001,1.0,55,19440,42.02160493827161,-0.08401622025025186,0.932577887314497,1814.989719267358,0114253c
0.0001,1.0,60,15381,42.071386775892336,-0.07749054864108426,0.9367766264214701,1367.8983541420444,0114253c
0.0001,1.2,45,24187,42.74196882622896,-0.06110584975805904,0.9509966959006918,1702.260546131015,0114253c
0.0001,1.2,50,22463,42.51435694252771,-0.07031509412441962,0.9436436988865339,1813.4983255308832,0114253c
0.0001,1.2,55,19440,42.02160493827161,-0.08401622025025186,0.932577887314497,1814.989719267358,0114253c
0.0001,1.2,60,15381,42.071386775892336,-0.07749054864108426,0.9367766264214701,1367.8983541420444,0114253c
0.0001,1.4,45,18961,42.03364801434524,-0.08859537865901432,0.930674153459175,1860.1200070452749,0114253c
0.0001,1.4,50,17672,41.81756450882752,-0.09781902045580791,0.9234109379749774,1911.344787668944,0114253c
0.0001,1.4,55,15427,41.33013547676152,-0.11399898646111724,0.9106297567393576,1907.9848752661273,0114253c
0.0001,1.4,60,12308,41.428339291517716,-0.10207938622841073,0.9189607927853963,1421.8544826258355,0114253c
0.0002,0.8,45,20474,42.52222330760965,-0.07122929778147309,0.9416139067513922,1595.878414356805,0114253c
0.0002,0.8,50,19178,42.31410991761393,-0.07815761778570295,0.9360749611908308,1623.896648166273,0114253c
0.0002,0.8,55,16868,41.87218401707375,-0.0917418477930893,0.9249662752097343,1671.3033100242335,0114253c
