momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,trades,winrate,avg_R,profit_factor,max_drawdown
0.9,,,,,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,,,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,,0.5,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,,0.5,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,,0.6,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,,0.6,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,,0.7,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,,0.7,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.2,,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.2,,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.2,0.5,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.2,0.5,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.2,0.6,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.2,0.6,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.2,0.7,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.2,0.7,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.3,,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.3,,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.3,0.5,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.3,0.5,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
0.9,,,0.3,0.6,False,61,44.26229508196721,0.28983336864889986,1.2681671065325666,12.779268221633005
0.9,,,0.3,0.6,True,42,38.095238095238095,0.0866390688638371,1.066396799279507,17.520536218612563
