model,feature,importance
logistic_regression,ema_distance,0.00509
logistic_regression,volume_ratio,0.032821
logistic_regression,rsi,0.003398
logistic_regression,rsi_5m,0.003398
logistic_regression,momentum_ratio,-0.42383
logistic_regression,pullback_depth_pct,-0.242075
logistic_regression,upper_wick_ratio,-0.467879
logistic_regression,lower_wick_ratio,0.891807
logistic_regression,ema50_slope,-0.001171
logistic_regression,breakout_confirmation,-0.235595
random_forest,ema_distance,0.111254
random_forest,volume_ratio,0.123832
random_forest,rsi,0.110685
random_forest,rsi_5m,0.102529
random_forest,momentum_ratio,0.116907
random_forest,pullback_depth_pct,0.125763
random_forest,upper_wick_ratio,0.08599
random_forest,lower_wick_ratio,0.098537
random_forest,ema50_slope,0.111696
random_forest,breakout_confirmation,0.012808
gradient_boosting,ema_distance,0.126664
gradient_boosting,volume_ratio,0.110862
gradient_boosting,rsi,0.082491
gradient_boosting,rsi_5m,0.06188
gradient_boosting,momentum_ratio,0.139922
gradient_boosting,pullback_depth_pct,0.164281
gradient_boosting,upper_wick_ratio,0.085784
gradient_boosting,lower_wick_ratio,0.091386
gradient_boosting,ema50_slope,0.134089
gradient_boosting,breakout_confirmation,0.00264
