percentile,pct,n_signals,trades,winrate,avg_R,profit_factor,max_drawdown
top_100%,100,633,633,42.18009478672986,-0.12454051778897951,0.9083118334143042,141.51733386357142
top_50%,50,316,316,39.87341772151899,-0.29352085843371833,0.8095955016766677,120.79692169523626
top_30%,30,189,189,39.15343915343915,-0.4960529981715945,0.7157740398874544,120.79692169523626
top_20%,20,126,126,38.095238095238095,-0.7099855328457256,0.623452118843272,114.1224403182633
top_10%,10,63,63,36.507936507936506,-0.6854341964251168,0.6208420649249748,58.646642658844605
