ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,15000,13004,13004,12476,12476
0.0001,0.8,50,15000,13004,13004,11573,11573
0.0001,0.8,55,15000,13004,13004,9908,9908
0.0001,0.8,60,15000,13004,13004,7748,7748
0.0001,1.0,45,15000,13004,13004,12476,12476
0.0001,1.0,50,15000,13004,13004,11573,11573
0.0001,1.0,55,15000,13004,13004,9908,9908
0.0001,1.0,60,15000,13004,13004,7748,7748
0.0001,1.2,45,15000,13004,13004,12476,12476
0.0001,1.2,50,15000,13004,13004,11573,11573
0.0001,1.2,55,15000,13004,13004,9908,9908
0.0001,1.2,60,15000,13004,13004,7748,7748
0.0001,1.4,45,15000,13004,10099,9730,9730
0.0001,1.4,50,15000,13004,10099,9063,9063
0.0001,1.4,55,15000,13004,10099,7843,7843
0.0001,1.4,60,15000,13004,10099,6184,6184
0.0002,0.8,45,15000,11069,11069,10690,10690
0.0002,0.8,50,15000,11069,11069,9980,9980
0.0002,0.8,55,15000,11069,11069,8692,8692
0.0002,0.8,60,15000,11069,11069,6917,6917
0.0002,1.0,45,15000,11069,11069,10690,10690
0.0002,1.0,50,15000,11069,11069,9980,9980
0.0002,1.0,55,15000,11069,11069,8692,8692
0.0002,1.0,60,15000,11069,11069,6917,6917
0.0002,1.2,45,15000,11069,11069,10690,10690
0.0002,1.2,50,15000,11069,11069,9980,9980
0.0002,1.2,55,15000,11069,11069,8692,8692
0.0002,1.2,60,15000,11069,11069,6917,6917
0.0002,1.4,45,15000,11069,8664,8403,8403
0.0002,1.4,50,15000,11069,8664,7878,7878
0.0002,1.4,55,15000,11069,8664,6957,6957
0.0002,1.4,60,15000,11069,8664,5585,5585
0.0003,0.8,45,15000,9367,9367,9088,9088
0.0003,0.8,50,15000,9367,9367,8579,8579
0.0003,0.8,55,15000,9367,9367,7589,7589
0.0003,0.8,60,15000,9367,9367,6185,6185
0.0003,1.0,45,15000,9367,9367,9088,9088
0.0003,1.0,50,15000,9367,9367,8579,8579
0.0003,1.0,55,15000,9367,9367,7589,7589
0.0003,1.0,60,15000,9367,9367,6185,6185
0.0003,1.2,45,15000,9367,9367,9088,9088
0.0003,1.2,50,15000,9367,9367,8579,8579
0.0003,1.2,55,15000,9367,9367,7589,7589
0.0003,1.2,60,15000,9367,9367,6185,6185
0.0003,1.4,45,15000,9367,7404,7218,7218
0.0003,1.4,50,15000,9367,7404,6844,6844
0.0003,1.4,55,15000,9367,7404,6136,6136
0.0003,1.4,60,15000,9367,7404,5043,5043
0.0004,0.8,45,15000,7941,7941,7755,7755
0.0004,0.8,50,15000,7941,7941,7388,7388
0.0004,0.8,55,15000,7941,7941,6614,6614
0.0004,0.8,60,15000,7941,7941,5509,5509
0.0004,1.0,45,15000,7941,7941,7755,7755
0.0004,1.0,50,15000,7941,7941,7388,7388
0.0004,1.0,55,15000,7941,7941,6614,6614
0.0004,1.0,60,15000,7941,7941,5509,5509
0.0004,1.2,45,15000,7941,7941,7755,7755
0.0004,1.2,50,15000,7941,7941,7388,7388
0.0004,1.2,55,15000,7941,7941,6614,6614
0.0004,1.2,60,15000,7941,7941,5509,5509
0.0004,1.4,45,15000,7941,6350,6226,6226
0.0004,1.4,50,15000,7941,6350,5951,5951
0.0004,1.4,55,15000,7941,6350,5389,5389
0.0004,1.4,60,15000,7941,6350,4512,4512
0.0005,0.8,45,15000,6755,6755,6639,6639
0.0005,0.8,50,15000,6755,6755,6358,6358
0.0005,0.8,55,15000,6755,6755,5773,5773
0.0005,0.8,60,15000,6755,6755,4892,4892
0.0005,1.0,45,15000,6755,6755,6639,6639
0.0005,1.0,50,15000,6755,6755,6358,6358
0.0005,1.0,55,15000,6755,6755,5773,5773
0.0005,1.0,60,15000,6755,6755,4892,4892
0.0005,1.2,45,15000,6755,6755,6639,6639
0.0005,1.2,50,15000,6755,6755,6358,6358
0.0005,1.2,55,15000,6755,6755,5773,5773
0.0005,1.2,60,15000,6755,6755,4892,4892
0.0005,1.4,45,15000,6755,5446,5372,5372
0.0005,1.4,50,15000,6755,5446,5157,5157
0.0005,1.4,55,15000,6755,5446,4733,4733
0.0005,1.4,60,15000,6755,5446,4036,4036
