ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,76,48.68421052631579,-0.25031523208331397,0.8445375500115716,64.71759879783218
0.0001,0.8,50,67,46.26865671641791,-0.396330599740736,0.7695383364406783,70.62650151758564
0.0001,0.8,55,60,43.333333333333336,-0.7475757449888275,0.5890067823723731,68.926896034286
0.0001,0.8,60,50,44.0,-0.8958055195061608,0.5310551200221608,59.74106728084114
0.0001,1.0,45,76,48.68421052631579,-0.25031523208331397,0.8445375500115716,64.71759879783218
0.0001,1.0,50,67,46.26865671641791,-0.396330599740736,0.7695383364406783,70.62650151758564
0.0001,1.0,55,60,43.333333333333336,-0.7475757449888275,0.5890067823723731,68.926896034286
0.0001,1.0,60,50,44.0,-0.8958055195061608,0.5310551200221608,59.74106728084114
0.0001,1.2,45,76,48.68421052631579,-0.25031523208331397,0.8445375500115716,64.71759879783218
0.0001,1.2,50,67,46.26865671641791,-0.396330599740736,0.7695383364406783,70.62650151758564
0.0001,1.2,55,60,43.333333333333336,-0.7475757449888275,0.5890067823723731,68.926896034286
0.0001,1.2,60,50,44.0,-0.8958055195061608,0.5310551200221608,59.74106728084114
0.0001,1.4,45,41,43.90243902439025,0.06698750390415797,1.0405454608041054,38.880336676038596
0.0001,1.4,50,39,43.58974358974359,0.061612587157851256,1.035964825931745,40.15015904380669
0.0001,1.4,55,35,42.857142857142854,-0.33941131101829364,0.8043824036072429,35.45555902456471
0.0001,1.4,60,27,44.44444444444444,-0.4657080618419371,0.7514962875476006,26.36582455405926
0.0002,0.8,45,65,49.23076923076923,-0.4021619003359511,0.760198909412741,66.75170554978513
0.0002,0.8,50,57,47.368421052631575,-0.4944688591050513,0.72330109488009,72.6606082695386
0.0002,0.8,55,51,43.13725490196079,-0.9725073008644587,0.49844792625098217,74.07375564463808
0.0002,0.8,60,43,41.86046511627907,-1.2086972718412545,0.40740062516592596,66.92477399470704
0.0002,1.0,45,65,49.23076923076923,-0.4021619003359511,0.760198909412741,66.75170554978513
0.0002,1.0,50,57,47.368421052631575,-0.4944688591050513,0.72330109488009,72.6606082695386
0.0002,1.0,55,51,43.13725490196079,-0.9725073008644587,0.49844792625098217,74.07375564463808
0.0002,1.0,60,43,41.86046511627907,-1.2086972718412545,0.40740062516592596,66.92477399470704
0.0002,1.2,45,65,49.23076923076923,-0.4021619003359511,0.760198909412741,66.75170554978513
0.0002,1.2,50,57,47.368421052631575,-0.4944688591050513,0.72330109488009,72.6606082695386
0.0002,1.2,55,51,43.13725490196079,-0.9725073008644587,0.49844792625098217,74.07375564463808
0.0002,1.2,60,43,41.86046511627907,-1.2086972718412545,0.40740062516592596,66.92477399470704
0.0002,1.4,45,35,45.714285714285715,-0.02436020212209727,0.9858125049760668,42.882963375976814
0.0002,1.4,50,33,45.45454545454545,-0.0362486010662934,0.9797834208379854,44.152785743744914
0.0002,1.4,55,30,43.333333333333336,-0.6197081159461099,0.669180810663668,41.54782538694053
0.0002,1.4,60,24,41.66666666666667,-0.9052643471493114,0.5521232193890229,37.21880869112087
0.0003,0.8,45,48,43.75,-0.8705670563852616,0.5266208740332917,63.491517633899875
0.0003,0.8,50,43,44.18604651162791,-0.9184811771355206,0.51316703991372,65.06369081683708
0.0003,0.8,55,41,43.90243902439025,-0.8997495185371461,0.5279860721622524,62.4587304600327
0.0003,0.8,60,34,41.17647058823529,-1.2576934562153244,0.3931597238970338,42.42547135292355
0.0003,1.0,45,48,43.75,-0.8705670563852616,0.5266208740332917,63.491517633899875
0.0003,1.0,50,43,44.18604651162791,-0.9184811771355206,0.51316703991372,65.06369081683708
0.0003,1.0,55,41,43.90243902439025,-0.8997495185371461,0.5279860721622524,62.4587304600327
0.0003,1.0,60,34,41.17647058823529,-1.2576934562153244,0.3931597238970338,42.42547135292355
0.0003,1.2,45,48,43.75,-0.8705670563852616,0.5266208740332917,63.491517633899875
0.0003,1.2,50,43,44.18604651162791,-0.9184811771355206,0.51316703991372,65.06369081683708
0.0003,1.2,55,41,43.90243902439025,-0.8997495185371461,0.5279860721622524,62.4587304600327
0.0003,1.2,60,34,41.17647058823529,-1.2576934562153244,0.3931597238970338,42.42547135292355
0.0003,1.4,45,28,42.857142857142854,-0.506288617300135,0.716978480617694,37.29955448556621
0.0003,1.4,50,27,44.44444444444444,-0.4907353954648133,0.7304865179357158,37.29955448556621
0.0003,1.4,55,25,44.0,-0.4257958128298228,0.7695424964993245,34.69459412876183
0.0003,1.4,60,19,42.10526315789473,-0.7252629565234606,0.6420996252539722,22.312715609230725
0.0004,0.8,45,36,47.22222222222222,-1.0674694114255308,0.48614411005701735,54.568667800846704
0.0004,0.8,50,33,48.484848484848484,-1.0446878687959278,0.49718233965708103,53.55294432554176
0.0004,0.8,55,31,48.38709677419355,-1.028056106885846,0.514115426597798,50.94798396873737
0.0004,0.8,60,26,46.15384615384615,-1.2226815649393414,0.4569413825574741,31.218391820095373
