percentile,pct,n_signals,trades,winrate,avg_R,profit_factor,max_drawdown
top_100%,100,209,209,44.97607655502392,-0.12040457013659307,0.9208435992399315,63.22062705937541
top_50%,50,104,104,40.38461538461539,-0.28424549062629906,0.8500976777833101,63.22062705937541
top_30%,30,62,62,40.32258064516129,-0.4564463524891775,0.7474107650107041,44.500863616233495
top_20%,20,41,41,39.02439024390244,-0.8115232642583151,0.5980673840735603,44.500863616233495
top_10%,10,20,20,40.0,-0.7905638608104634,0.6616995724197796,27.039686997851845
