ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_regime_filter,after_ema_filter,after_volume_filter,after_rsi_filter,after_momentum_filter,after_pullback_filter,after_breakout_filter,after_trend_filter,final_trades
0.0001,0.8,45,207,207,186,186,180,180,180,180,180,180
0.0001,0.8,50,207,207,186,186,164,164,164,164,164,164
0.0001,0.8,55,207,207,186,186,141,141,141,141,141,141
0.0001,0.8,60,207,207,186,186,112,112,112,112,112,112
0.0001,1.0,45,207,207,186,186,180,180,180,180,180,180
0.0001,1.0,50,207,207,186,186,164,164,164,164,164,164
0.0001,1.0,55,207,207,186,186,141,141,141,141,141,141
0.0001,1.0,60,207,207,186,186,112,112,112,112,112,112
0.0001,1.2,45,207,207,186,186,180,180,180,180,180,180
0.0001,1.2,50,207,207,186,186,164,164,164,164,164,164
0.0001,1.2,55,207,207,186,186,141,141,141,141,141,141
0.0001,1.2,60,207,207,186,186,112,112,112,112,112,112
0.0001,1.4,45,207,207,186,105,101,101,101,101,101,101
0.0001,1.4,50,207,207,186,105,95,95,95,95,95,95
0.0001,1.4,55,207,207,186,105,83,83,83,83,83,83
0.0001,1.4,60,207,207,186,105,65,65,65,65,65,65
0.0002,0.8,45,207,207,154,154,151,151,151,151,151,151
0.0002,0.8,50,207,207,154,154,137,137,137,137,137,137
0.0002,0.8,55,207,207,154,154,117,117,117,117,117,117
0.0002,0.8,60,207,207,154,154,97,97,97,97,97,97
0.0002,1.0,45,207,207,154,154,151,151,151,151,151,151
0.0002,1.0,50,207,207,154,154,137,137,137,137,137,137
0.0002,1.0,55,207,207,154,154,117,117,117,117,117,117
0.0002,1.0,60,207,207,154,154,97,97,97,97,97,97
0.0002,1.2,45,207,207,154,154,151,151,151,151,151,151
0.0002,1.2,50,207,207,154,154,137,137,137,137,137,137
0.0002,1.2,55,207,207,154,154,117,117,117,117,117,117
0.0002,1.2,60,207,207,154,154,97,97,97,97,97,97
0.0002,1.4,45,207,207,154,86,84,84,84,84,84,84
0.0002,1.4,50,207,207,154,86,78,78,78,78,78,78
0.0002,1.4,55,207,207,154,86,68,68,68,68,68,68
0.0002,1.4,60,207,207,154,86,55,55,55,55,55,55
0.0003,0.8,45,207,207,110,110,109,109,109,109,109,109
0.0003,0.8,50,207,207,110,110,98,98,98,98,98,98
0.0003,0.8,55,207,207,110,110,87,87,87,87,87,87
0.0003,0.8,60,207,207,110,110,71,71,71,71,71,71
0.0003,1.0,45,207,207,110,110,109,109,109,109,109,109
0.0003,1.0,50,207,207,110,110,98,98,98,98,98,98
0.0003,1.0,55,207,207,110,110,87,87,87,87,87,87
0.0003,1.0,60,207,207,110,110,71,71,71,71,71,71
0.0003,1.2,45,207,207,110,110,109,109,109,109,109,109
0.0003,1.2,50,207,207,110,110,98,98,98,98,98,98
0.0003,1.2,55,207,207,110,110,87,87,87,87,87,87
0.0003,1.2,60,207,207,110,110,71,71,71,71,71,71
0.0003,1.4,45,207,207,110,61,60,60,60,60,60,60
0.0003,1.4,50,207,207,110,61,55,55,55,55,55,55
0.0003,1.4,55,207,207,110,61,50,50,50,50,50,50
0.0003,1.4,60,207,207,110,61,39,39,39,39,39,39
0.0004,0.8,45,207,207,73,73,72,72,72,72,72,72
0.0004,0.8,50,207,207,73,73,67,67,67,67,67,67
0.0004,0.8,55,207,207,73,73,61,61,61,61,61,61
0.0004,0.8,60,207,207,73,73,50,50,50,50,50,50
0.0004,1.0,45,207,207,73,73,72,72,72,72,72,72
0.0004,1.0,50,207,207,73,73,67,67,67,67,67,67
0.0004,1.0,55,207,207,73,73,61,61,61,61,61,61
0.0004,1.0,60,207,207,73,73,50,50,50,50,50,50
0.0004,1.2,45,207,207,73,73,72,72,72,72,72,72
0.0004,1.2,50,207,207,73,73,67,67,67,67,67,67
0.0004,1.2,55,207,207,73,73,61,61,61,61,61,61
0.0004,1.2,60,207,207,73,73,50,50,50,50,50,50
0.0004,1.4,45,207,207,73,41,40,40,40,40,40,40
0.0004,1.4,50,207,207,73,41,38,38,38,38,38,38
0.0004,1.4,55,207,207,73,41,35,35,35,35,35,35
0.0004,1.4,60,207,207,73,41,29,29,29,29,29,29
0.0005,0.8,45,207,207,51,51,51,51,51,51,51,51
0.0005,0.8,50,207,207,51,51,48,48,48,48,48,48
0.0005,0.8,55,207,207,51,51,45,45,45,45,45,45
0.0005,0.8,60,207,207,51,51,40,40,40,40,40,40
0.0005,1.0,45,207,207,51,51,51,51,51,51,51,51
0.0005,1.0,50,207,207,51,51,48,48,48,48,48,48
0.0005,1.0,55,207,207,51,51,45,45,45,45,45,45
0.0005,1.0,60,207,207,51,51,40,40,40,40,40,40
0.0005,1.2,45,207,207,51,51,51,51,51,51,51,51
0.0005,1.2,50,207,207,51,51,48,48,48,48,48,48
0.0005,1.2,55,207,207,51,51,45,45,45,45,45,45
0.0005,1.2,60,207,207,51,51,40,40,40,40,40,40
0.0005,1.4,45,207,207,51,30,30,30,30,30,30,30
0.0005,1.4,50,207,207,51,30,29,29,29,29,29,29
0.0005,1.4,55,207,207,51,30,27,27,27,27,27,27
0.0005,1.4,60,207,207,51,30,25,25,25,25,25,25
