exit_type,regime_threshold,timeout_bars,tp_pct,tp1_pct,sl_pct,n_trades,win_rate_pct,mean_net_pct,mean_raw_pct,profit_factor,pf_net,tp1_rate_pct,exit_reasons
old,0.0002,30,1.2,,0.6,63,47.62,0.0202,0.1002,1.1946,1.1946,0.0,"{'timeout': 61, 'tp': 1, 'sl': 1}"
partial,0.0002,30,,0.8,0.6,63,47.62,0.0153,0.0953,1.1475,1.1475,4.76,"{'timeout': 59, 'tp1_then_runner': 1, 'tp1_then_ema20': 1, 'tp1_then_timeout': 1, 'sl': 1}"
old,0.000285,30,1.2,,0.6,56,50.0,0.0288,0.1088,1.2757,1.2757,0.0,"{'timeout': 54, 'tp': 1, 'sl': 1}"
partial,0.000285,30,,0.8,0.6,56,50.0,0.0233,0.1033,1.2231,1.2231,5.36,"{'timeout': 52, 'tp1_then_runner': 1, 'tp1_then_ema20': 1, 'tp1_then_timeout': 1, 'sl': 1}"
