exit_type,regime_threshold,timeout_bars,tp_pct,tp1_pct,sl_pct,n_trades,win_rate_pct,mean_net_pct,mean_raw_pct,profit_factor,pf_net,tp1_rate_pct,exit_reasons
old,0.0002,30,1.2,,0.6,74,47.3,-0.0268,0.0532,0.7543,0.7543,0.0,"{'timeout': 69, 'sl': 5}"
partial,0.0002,30,,0.8,0.6,74,47.3,-0.0195,0.0605,0.8205,0.8205,4.05,"{'timeout': 66, 'tp1_then_timeout': 2, 'sl': 5, 'tp1_then_runner': 1}"
old,0.000285,30,1.2,,0.6,65,47.69,-0.0276,0.0524,0.7465,0.7465,0.0,"{'timeout': 60, 'sl': 5}"
partial,0.000285,30,,0.8,0.6,65,47.69,-0.0194,0.0606,0.8218,0.8218,4.62,"{'timeout': 57, 'tp1_then_timeout': 2, 'sl': 5, 'tp1_then_runner': 1}"
