ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,4265,3960,3960,3821,3821
0.0001,0.8,50,4265,3960,3960,3619,3619
0.0001,0.8,55,4265,3960,3960,3211,3211
0.0001,0.8,60,4265,3960,3960,2597,2597
0.0001,1.0,45,4265,3960,3960,3821,3821
0.0001,1.0,50,4265,3960,3960,3619,3619
0.0001,1.0,55,4265,3960,3960,3211,3211
0.0001,1.0,60,4265,3960,3960,2597,2597
0.0001,1.2,45,4265,3960,3960,3821,3821
0.0001,1.2,50,4265,3960,3960,3619,3619
0.0001,1.2,55,4265,3960,3960,3211,3211
0.0001,1.2,60,4265,3960,3960,2597,2597
0.0001,1.4,45,4265,3960,3113,3010,3010
0.0001,1.4,50,4265,3960,3113,2861,2861
0.0001,1.4,55,4265,3960,3113,2545,2545
0.0001,1.4,60,4265,3960,3113,2068,2068
0.0002,0.8,45,4265,3554,3554,3430,3430
0.0002,0.8,50,4265,3554,3554,3255,3255
0.0002,0.8,55,4265,3554,3554,2898,2898
0.0002,0.8,60,4265,3554,3554,2360,2360
0.0002,1.0,45,4265,3554,3554,3430,3430
0.0002,1.0,50,4265,3554,3554,3255,3255
0.0002,1.0,55,4265,3554,3554,2898,2898
0.0002,1.0,60,4265,3554,3554,2360,2360
0.0002,1.2,45,4265,3554,3554,3430,3430
0.0002,1.2,50,4265,3554,3554,3255,3255
0.0002,1.2,55,4265,3554,3554,2898,2898
0.0002,1.2,60,4265,3554,3554,2360,2360
0.0002,1.4,45,4265,3554,2809,2715,2715
0.0002,1.4,50,4265,3554,2809,2586,2586
0.0002,1.4,55,4265,3554,2809,2313,2313
0.0002,1.4,60,4265,3554,2809,1894,1894
0.0003,0.8,45,4265,3067,3067,2972,2972
0.0003,0.8,50,4265,3067,3067,2836,2836
0.0003,0.8,55,4265,3067,3067,2552,2552
0.0003,0.8,60,4265,3067,3067,2120,2120
0.0003,1.0,45,4265,3067,3067,2972,2972
0.0003,1.0,50,4265,3067,3067,2836,2836
0.0003,1.0,55,4265,3067,3067,2552,2552
0.0003,1.0,60,4265,3067,3067,2120,2120
0.0003,1.2,45,4265,3067,3067,2972,2972
0.0003,1.2,50,4265,3067,3067,2836,2836
0.0003,1.2,55,4265,3067,3067,2552,2552
0.0003,1.2,60,4265,3067,3067,2120,2120
0.0003,1.4,45,4265,3067,2433,2363,2363
0.0003,1.4,50,4265,3067,2433,2263,2263
0.0003,1.4,55,4265,3067,2433,2048,2048
0.0003,1.4,60,4265,3067,2433,1708,1708
0.0004,0.8,45,4265,2606,2606,2536,2536
0.0004,0.8,50,4265,2606,2606,2425,2425
0.0004,0.8,55,4265,2606,2606,2205,2205
0.0004,0.8,60,4265,2606,2606,1862,1862
0.0004,1.0,45,4265,2606,2606,2536,2536
0.0004,1.0,50,4265,2606,2606,2425,2425
0.0004,1.0,55,4265,2606,2606,2205,2205
0.0004,1.0,60,4265,2606,2606,1862,1862
0.0004,1.2,45,4265,2606,2606,2536,2536
0.0004,1.2,50,4265,2606,2606,2425,2425
0.0004,1.2,55,4265,2606,2606,2205,2205
0.0004,1.2,60,4265,2606,2606,1862,1862
0.0004,1.4,45,4265,2606,2087,2033,2033
0.0004,1.4,50,4265,2606,2087,1953,1953
0.0004,1.4,55,4265,2606,2087,1785,1785
0.0004,1.4,60,4265,2606,2087,1510,1510
0.0005,0.8,45,4265,2188,2188,2137,2137
0.0005,0.8,50,4265,2188,2188,2050,2050
0.0005,0.8,55,4265,2188,2188,1888,1888
0.0005,0.8,60,4265,2188,2188,1612,1612
0.0005,1.0,45,4265,2188,2188,2137,2137
0.0005,1.0,50,4265,2188,2188,2050,2050
0.0005,1.0,55,4265,2188,2188,1888,1888
0.0005,1.0,60,4265,2188,2188,1612,1612
0.0005,1.2,45,4265,2188,2188,2137,2137
0.0005,1.2,50,4265,2188,2188,2050,2050
0.0005,1.2,55,4265,2188,2188,1888,1888
0.0005,1.2,60,4265,2188,2188,1612,1612
0.0005,1.4,45,4265,2188,1776,1734,1734
0.0005,1.4,50,4265,2188,1776,1670,1670
0.0005,1.4,55,4265,2188,1776,1550,1550
0.0005,1.4,60,4265,2188,1776,1322,1322
