ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0001,0.8,45,3821,43.78434964668935,-0.04865887712867749,0.9612036364892034,325.40430050750444,False,False,False,True,09c21b72
0.0001,0.8,50,3619,43.76899696048632,-0.061092889448125735,0.9512990495061358,364.7259766832985,False,False,False,True,09c21b72
0.0001,0.8,55,3211,43.03955154157583,-0.08442917593571173,0.9322994888171006,377.68673140619364,False,False,False,True,09c21b72
0.0001,0.8,60,2597,42.549095109742005,-0.07462988496634446,0.9394364609636211,321.42644558420915,False,False,False,True,09c21b72
0.0001,1.0,45,3821,43.78434964668935,-0.04865887712867749,0.9612036364892034,325.40430050750444,False,False,False,True,09c21b72
0.0001,1.0,50,3619,43.76899696048632,-0.061092889448125735,0.9512990495061358,364.7259766832985,False,False,False,True,09c21b72
0.0001,1.0,55,3211,43.03955154157583,-0.08442917593571173,0.9322994888171006,377.68673140619364,False,False,False,True,09c21b72
0.0001,1.0,60,2597,42.549095109742005,-0.07462988496634446,0.9394364609636211,321.42644558420915,False,False,False,True,09c21b72
0.0001,1.2,45,3821,43.78434964668935,-0.04865887712867749,0.9612036364892034,325.40430050750444,False,False,False,True,09c21b72
0.0001,1.2,50,3619,43.76899696048632,-0.061092889448125735,0.9512990495061358,364.7259766832985,False,False,False,True,09c21b72
0.0001,1.2,55,3211,43.03955154157583,-0.08442917593571173,0.9322994888171006,377.68673140619364,False,False,False,True,09c21b72
0.0001,1.2,60,2597,42.549095109742005,-0.07462988496634446,0.9394364609636211,321.42644558420915,False,False,False,True,09c21b72
0.0001,1.4,45,3010,42.857142857142854,-0.09054287357326665,0.9305437505376535,384.4471845586496,False,False,False,True,09c21b72
0.0001,1.4,50,2861,42.887102411744145,-0.09313346535801113,0.9282600395468202,402.37653785385044,False,False,False,True,09c21b72
0.0001,1.4,55,2545,42.20039292730845,-0.11271962862107478,0.9127457761148822,379.5728027730471,False,False,False,True,09c21b72
0.0001,1.4,60,2068,41.97292069632495,-0.07680427614742225,0.9394638999590386,302.44279007478883,False,False,False,True,09c21b72
0.0002,0.8,45,3430,43.673469387755105,-0.05866874267270389,0.9523954066802209,325.5138444888881,False,False,False,True,09c21b72
0.0002,0.8,50,3255,43.533026113671276,-0.06496074655421297,0.947410435589369,329.75312554746796,False,False,False,True,09c21b72
0.0002,0.8,55,2898,42.89164941338854,-0.09135704037733008,0.9253109189980687,322.633747611932,False,False,False,True,09c21b72
0.0002,0.8,60,2360,42.5,-0.07871610727990097,0.9348308177236284,234.3547431231425,False,False,False,True,09c21b72
0.0002,1.0,45,3430,43.673469387755105,-0.05866874267270389,0.9523954066802209,325.5138444888881,False,False,False,True,09c21b72
0.0002,1.0,50,3255,43.533026113671276,-0.06496074655421297,0.947410435589369,329.75312554746796,False,False,False,True,09c21b72
0.0002,1.0,55,2898,42.89164941338854,-0.09135704037733008,0.9253109189980687,322.633747611932,False,False,False,True,09c21b72
0.0002,1.0,60,2360,42.5,-0.07871610727990097,0.9348308177236284,234.3547431231425,False,False,False,True,09c21b72
0.0002,1.2,45,3430,43.673469387755105,-0.05866874267270389,0.9523954066802209,325.5138444888881,False,False,False,True,09c21b72
0.0002,1.2,50,3255,43.533026113671276,-0.06496074655421297,0.947410435589369,329.75312554746796,False,False,False,True,09c21b72
0.0002,1.2,55,2898,42.89164941338854,-0.09135704037733008,0.9253109189980687,322.633747611932,False,False,False,True,09c21b72
0.0002,1.2,60,2360,42.5,-0.07871610727990097,0.9348308177236284,234.3547431231425,False,False,False,True,09c21b72
0.0002,1.4,45,2715,43.13075506445672,-0.09184051362347946,0.9282127144357653,322.0796815642748,False,False,False,True,09c21b72
0.0002,1.4,50,2586,43.03944315545243,-0.09415465401555793,0.9263155977026333,352.2029285028486,False,False,False,True,09c21b72
0.0002,1.4,55,2313,42.54215304798962,-0.11061703691798924,0.9123864138330793,316.5576717112316,False,False,False,True,09c21b72
0.0002,1.4,60,1894,42.344244984160504,-0.07691928651913134,0.9378229673694296,241.0343302160227,False,False,False,True,09c21b72
0.0003,0.8,45,2972,43.135935397039034,-0.03980532102917946,0.9664043046014347,192.85378308164468,False,False,False,True,09c21b72
0.0003,0.8,50,2836,43.08885754583921,-0.046657064372788624,0.960851159387895,197.8476761746478,False,False,False,True,09c21b72
0.0003,0.8,55,2552,42.75078369905956,-0.06016239126414219,0.948816716817981,192.48391540594395,False,False,False,True,09c21b72
0.0003,0.8,60,2120,42.45283018867924,-0.0694677174783759,0.9409990606837271,185.06033333081973,False,False,False,True,09c21b72
0.0003,1.0,45,2972,43.135935397039034,-0.03980532102917946,0.9664043046014347,192.85378308164468,False,False,False,True,09c21b72
0.0003,1.0,50,2836,43.08885754583921,-0.046657064372788624,0.960851159387895,197.8476761746478,False,False,False,True,09c21b72
0.0003,1.0,55,2552,42.75078369905956,-0.06016239126414219,0.948816716817981,192.48391540594395,False,False,False,True,09c21b72
0.0003,1.0,60,2120,42.45283018867924,-0.0694677174783759,0.9409990606837271,185.06033333081973,False,False,False,True,09c21b72
0.0003,1.2,45,2972,43.135935397039034,-0.03980532102917946,0.9664043046014347,192.85378308164468,False,False,False,True,09c21b72
0.0003,1.2,50,2836,43.08885754583921,-0.046657064372788624,0.960851159387895,197.8476761746478,False,False,False,True,09c21b72
0.0003,1.2,55,2552,42.75078369905956,-0.06016239126414219,0.948816716817981,192.48391540594395,False,False,False,True,09c21b72
0.0003,1.2,60,2120,42.45283018867924,-0.0694677174783759,0.9409990606837271,185.06033333081973,False,False,False,True,09c21b72
