ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,1557,42.77456647398844,-0.17931470785363474,0.8561204802842923,420.3111200471035
0.0001,0.8,50,1485,42.82828282828282,-0.21118894005358635,0.831053255682611,454.17296996741084
0.0001,0.8,55,1331,41.697971450037564,-0.23788945977791473,0.8119180661882942,448.8013272390253
0.0001,0.8,60,1079,40.407784986098235,-0.27155738847375976,0.7847210592705186,394.1137499301703
0.0001,1.0,45,1557,42.77456647398844,-0.17931470785363474,0.8561204802842923,420.3111200471035
0.0001,1.0,50,1485,42.82828282828282,-0.21118894005358635,0.831053255682611,454.17296996741084
0.0001,1.0,55,1331,41.697971450037564,-0.23788945977791473,0.8119180661882942,448.8013272390253
0.0001,1.0,60,1079,40.407784986098235,-0.27155738847375976,0.7847210592705186,394.1137499301703
0.0001,1.2,45,1557,42.77456647398844,-0.17931470785363474,0.8561204802842923,420.3111200471035
0.0001,1.2,50,1485,42.82828282828282,-0.21118894005358635,0.831053255682611,454.17296996741084
0.0001,1.2,55,1331,41.697971450037564,-0.23788945977791473,0.8119180661882942,448.8013272390253
0.0001,1.2,60,1079,40.407784986098235,-0.27155738847375976,0.7847210592705186,394.1137499301703
0.0001,1.4,45,1217,41.74198849630238,-0.2454723734239771,0.8109678389016228,411.6196782604049
0.0001,1.4,50,1166,41.76672384219554,-0.2612799505517736,0.7989293670053004,423.62440782225195
0.0001,1.4,55,1050,40.85714285714286,-0.2772367100205456,0.7876651437602458,401.80050883051194
0.0001,1.4,60,855,39.88304093567251,-0.32122607842041606,0.7532776819866304,359.7802111090447
0.0002,0.8,45,1418,43.51198871650212,-0.14922880765492033,0.8747779412196998,351.2192336131213
0.0002,0.8,50,1354,43.574593796159526,-0.16421125260289857,0.8623228381433925,349.8909671959013
0.0002,0.8,55,1219,42.49384741591468,-0.18871580047943387,0.8425001109463534,344.9731724917017
0.0002,0.8,60,991,41.27144298688194,-0.22961661415020335,0.8083940869152627,294.81049808655536
0.0002,1.0,45,1418,43.51198871650212,-0.14922880765492033,0.8747779412196998,351.2192336131213
0.0002,1.0,50,1354,43.574593796159526,-0.16421125260289857,0.8623228381433925,349.8909671959013
0.0002,1.0,55,1219,42.49384741591468,-0.18871580047943387,0.8425001109463534,344.9731724917017
0.0002,1.0,60,991,41.27144298688194,-0.22961661415020335,0.8083940869152627,294.81049808655536
0.0002,1.2,45,1418,43.51198871650212,-0.14922880765492033,0.8747779412196998,351.2192336131213
0.0002,1.2,50,1354,43.574593796159526,-0.16421125260289857,0.8623228381433925,349.8909671959013
0.0002,1.2,55,1219,42.49384741591468,-0.18871580047943387,0.8425001109463534,344.9731724917017
0.0002,1.2,60,991,41.27144298688194,-0.22961661415020335,0.8083940869152627,294.81049808655536
0.0002,1.4,45,1108,42.87003610108303,-0.20274785518704194,0.8367665839027424,320.59828838703345
0.0002,1.4,50,1062,42.84369114877589,-0.21851674230302692,0.8241389428318397,329.1964332195328
0.0002,1.4,55,962,41.891891891891895,-0.2337769323700878,0.8116243232337305,315.98616271710387
0.0002,1.4,60,786,40.966921119592875,-0.2742259312978718,0.7775504145007051,281.0642865278565
0.0003,0.8,45,1225,42.367346938775505,-0.1862875329282694,0.8417317474620862,297.7142001657745
0.0003,0.8,50,1178,42.78438030560272,-0.18673620899115193,0.8405996708673348,288.49078613322706
0.0003,0.8,55,1070,41.96261682242991,-0.2066352228092343,0.8245380315660389,291.99810497421083
0.0003,0.8,60,885,40.67796610169492,-0.26918438887676904,0.7743827755474026,279.7568124524338
0.0003,1.0,45,1225,42.367346938775505,-0.1862875329282694,0.8417317474620862,297.7142001657745
