ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0001,0.8,45,3712,43.72306034482759,-0.036991045417376286,0.970573457917976,284.1902827017387,09c21b72
0.0001,0.8,50,3514,43.71087080250427,-0.04959842917293097,0.9605754740979654,330.60635282047275,09c21b72
0.0001,0.8,55,3124,42.89372599231754,-0.07601990326289775,0.9393760078982709,345.1432798139583,09c21b72
0.0001,0.8,60,2533,42.51875246742993,-0.06397991372531234,0.9482824426348979,321.42644558420915,09c21b72
0.0001,1.0,45,3712,43.72306034482759,-0.036991045417376286,0.970573457917976,284.1902827017387,09c21b72
0.0001,1.0,50,3514,43.71087080250427,-0.04959842917293097,0.9605754740979654,330.60635282047275,09c21b72
0.0001,1.0,55,3124,42.89372599231754,-0.07601990326289775,0.9393760078982709,345.1432798139583,09c21b72
0.0001,1.0,60,2533,42.51875246742993,-0.06397991372531234,0.9482824426348979,321.42644558420915,09c21b72
0.0001,1.2,45,3712,43.72306034482759,-0.036991045417376286,0.970573457917976,284.1902827017387,09c21b72
0.0001,1.2,50,3514,43.71087080250427,-0.04959842917293097,0.9605754740979654,330.60635282047275,09c21b72
0.0001,1.2,55,3124,42.89372599231754,-0.07601990326289775,0.9393760078982709,345.1432798139583,09c21b72
0.0001,1.2,60,2533,42.51875246742993,-0.06397991372531234,0.9482824426348979,321.42644558420915,09c21b72
0.0001,1.4,45,2922,42.74469541409993,-0.07934028697592058,0.9392942122135539,343.7454536467569,09c21b72
0.0001,1.4,50,2775,42.77477477477478,-0.08343722688411916,0.9359669446223974,370.15782400424007,09c21b72
0.0001,1.4,55,2475,41.93939393939394,-0.10852312914005625,0.9166235124034529,368.1012701332322,09c21b72
0.0001,1.4,60,2016,41.76587301587302,-0.07006142477484768,0.9451270149779069,302.44279007478883,09c21b72
0.0002,0.8,45,3344,43.54066985645933,-0.05593596608020288,0.9548847660935929,307.3871708779165,09c21b72
0.0002,0.8,50,3173,43.39741569492594,-0.06273931149041147,0.949559358818522,313.87572058081173,09c21b72
0.0002,0.8,55,2828,42.751060820367755,-0.08746738443649944,0.9290105547886768,306.1880924363077,09c21b72
0.0002,0.8,60,2305,42.4295010845987,-0.07401437428641862,0.9391355493622963,234.3547431231425,09c21b72
0.0002,1.0,45,3344,43.54066985645933,-0.05593596608020288,0.9548847660935929,307.3871708779165,09c21b72
0.0002,1.0,50,3173,43.39741569492594,-0.06273931149041147,0.949559358818522,313.87572058081173,09c21b72
0.0002,1.0,55,2828,42.751060820367755,-0.08746738443649944,0.9290105547886768,306.1880924363077,09c21b72
0.0002,1.0,60,2305,42.4295010845987,-0.07401437428641862,0.9391355493622963,234.3547431231425,09c21b72
0.0002,1.2,45,3344,43.54066985645933,-0.05593596608020288,0.9548847660935929,307.3871708779165,09c21b72
0.0002,1.2,50,3173,43.39741569492594,-0.06273931149041147,0.949559358818522,313.87572058081173,09c21b72
0.0002,1.2,55,2828,42.751060820367755,-0.08746738443649944,0.9290105547886768,306.1880924363077,09c21b72
0.0002,1.2,60,2305,42.4295010845987,-0.07401437428641862,0.9391355493622963,234.3547431231425,09c21b72
0.0002,1.4,45,2645,42.948960302457465,-0.08877919223050476,0.9309991389339161,305.070826074201,09c21b72
0.0002,1.4,50,2518,42.851469420174745,-0.09322601087062139,0.927565824018002,335.1940730127749,09c21b72
0.0002,1.4,55,2255,42.3059866962306,-0.10888969855039454,0.9144558490290796,308.05620462518135,09c21b72
0.0002,1.4,60,1847,42.122360584732,-0.07379625014560992,0.9407897493448897,241.0343302160227,09c21b72
