ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,10000,8493,8493,8121,8121
0.0001,0.8,50,10000,8493,8493,7519,7519
0.0001,0.8,55,10000,8493,8493,6403,6403
0.0001,0.8,60,10000,8493,8493,4968,4968
0.0001,1.0,45,10000,8493,8493,8121,8121
0.0001,1.0,50,10000,8493,8493,7519,7519
0.0001,1.0,55,10000,8493,8493,6403,6403
0.0001,1.0,60,10000,8493,8493,4968,4968
0.0001,1.2,45,10000,8493,8493,8121,8121
0.0001,1.2,50,10000,8493,8493,7519,7519
0.0001,1.2,55,10000,8493,8493,6403,6403
0.0001,1.2,60,10000,8493,8493,4968,4968
0.0001,1.4,45,10000,8493,6664,6397,6397
0.0001,1.4,50,10000,8493,6664,5957,5957
0.0001,1.4,55,10000,8493,6664,5123,5123
0.0001,1.4,60,10000,8493,6664,4009,4009
0.0002,0.8,45,10000,7023,7023,6775,6775
0.0002,0.8,50,10000,7023,7023,6316,6316
0.0002,0.8,55,10000,7023,7023,5493,5493
0.0002,0.8,60,10000,7023,7023,4347,4347
0.0002,1.0,45,10000,7023,7023,6775,6775
0.0002,1.0,50,10000,7023,7023,6316,6316
0.0002,1.0,55,10000,7023,7023,5493,5493
0.0002,1.0,60,10000,7023,7023,4347,4347
0.0002,1.2,45,10000,7023,7023,6775,6775
0.0002,1.2,50,10000,7023,7023,6316,6316
0.0002,1.2,55,10000,7023,7023,5493,5493
0.0002,1.2,60,10000,7023,7023,4347,4347
0.0002,1.4,45,10000,7023,5558,5385,5385
0.0002,1.4,50,10000,7023,5558,5047,5047
0.0002,1.4,55,10000,7023,5558,4447,4447
0.0002,1.4,60,10000,7023,5558,3553,3553
0.0003,0.8,45,10000,5786,5786,5606,5606
0.0003,0.8,50,10000,5786,5786,5295,5295
0.0003,0.8,55,10000,5786,5786,4690,4690
0.0003,0.8,60,10000,5786,5786,3818,3818
0.0003,1.0,45,10000,5786,5786,5606,5606
0.0003,1.0,50,10000,5786,5786,5295,5295
0.0003,1.0,55,10000,5786,5786,4690,4690
0.0003,1.0,60,10000,5786,5786,3818,3818
0.0003,1.2,45,10000,5786,5786,5606,5606
0.0003,1.2,50,10000,5786,5786,5295,5295
0.0003,1.2,55,10000,5786,5786,4690,4690
0.0003,1.2,60,10000,5786,5786,3818,3818
0.0003,1.4,45,10000,5786,4617,4492,4492
0.0003,1.4,50,10000,5786,4617,4269,4269
0.0003,1.4,55,10000,5786,4617,3827,3827
0.0003,1.4,60,10000,5786,4617,3145,3145
0.0004,0.8,45,10000,4788,4788,4672,4672
0.0004,0.8,50,10000,4788,4788,4457,4457
0.0004,0.8,55,10000,4788,4788,4001,4001
0.0004,0.8,60,10000,4788,4788,3341,3341
0.0004,1.0,45,10000,4788,4788,4672,4672
0.0004,1.0,50,10000,4788,4788,4457,4457
0.0004,1.0,55,10000,4788,4788,4001,4001
0.0004,1.0,60,10000,4788,4788,3341,3341
0.0004,1.2,45,10000,4788,4788,4672,4672
0.0004,1.2,50,10000,4788,4788,4457,4457
0.0004,1.2,55,10000,4788,4788,4001,4001
0.0004,1.2,60,10000,4788,4788,3341,3341
0.0004,1.4,45,10000,4788,3864,3783,3783
0.0004,1.4,50,10000,4788,3864,3624,3624
0.0004,1.4,55,10000,4788,3864,3288,3288
0.0004,1.4,60,10000,4788,3864,2765,2765
0.0005,0.8,45,10000,3997,3997,3927,3927
0.0005,0.8,50,10000,3997,3997,3767,3767
0.0005,0.8,55,10000,3997,3997,3429,3429
0.0005,0.8,60,10000,3997,3997,2911,2911
0.0005,1.0,45,10000,3997,3997,3927,3927
0.0005,1.0,50,10000,3997,3997,3767,3767
0.0005,1.0,55,10000,3997,3997,3429,3429
0.0005,1.0,60,10000,3997,3997,2911,2911
0.0005,1.2,45,10000,3997,3997,3927,3927
0.0005,1.2,50,10000,3997,3997,3767,3767
0.0005,1.2,55,10000,3997,3997,3429,3429
0.0005,1.2,60,10000,3997,3997,2911,2911
0.0005,1.4,45,10000,3997,3246,3197,3197
0.0005,1.4,50,10000,3997,3246,3075,3075
0.0005,1.4,55,10000,3997,3246,2830,2830
0.0005,1.4,60,10000,3997,3246,2424,2424
