ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,3251,41.064287911411874,-0.12677218907290821,0.9001837902714503,610.5369362301801
0.0001,0.8,50,3037,40.99440237076062,-0.13223206593273737,0.8957197948020768,588.7392014553466
0.0001,0.8,55,2599,40.28472489419007,-0.15135189590911446,0.8811504890297305,558.8072676359936
0.0001,0.8,60,2043,40.13705335291238,-0.15255942849088683,0.8799418017773526,473.4599971627403
0.0001,1.0,45,3251,41.064287911411874,-0.12677218907290821,0.9001837902714503,610.5369362301801
0.0001,1.0,50,3037,40.99440237076062,-0.13223206593273737,0.8957197948020768,588.7392014553466
0.0001,1.0,55,2599,40.28472489419007,-0.15135189590911446,0.8811504890297305,558.8072676359936
0.0001,1.0,60,2043,40.13705335291238,-0.15255942849088683,0.8799418017773526,473.4599971627403
0.0001,1.2,45,3251,41.064287911411874,-0.12677218907290821,0.9001837902714503,610.5369362301801
0.0001,1.2,50,3037,40.99440237076062,-0.13223206593273737,0.8957197948020768,588.7392014553466
0.0001,1.2,55,2599,40.28472489419007,-0.15135189590911446,0.8811504890297305,558.8072676359936
0.0001,1.2,60,2043,40.13705335291238,-0.15255942849088683,0.8799418017773526,473.4599971627403
0.0001,1.4,45,2590,39.575289575289574,-0.22521563989656265,0.831850409932968,719.9387224972545
0.0001,1.4,50,2432,39.555921052631575,-0.2238123912120862,0.8318696026495623,694.0140456618462
0.0001,1.4,55,2109,39.26031294452347,-0.223891355746281,0.8314644377121246,593.2455370781365
0.0001,1.4,60,1668,39.02877697841727,-0.24423644579034237,0.8167835936735213,530.6381188865549
0.0002,0.8,45,2760,40.43478260869565,-0.1587419554702818,0.8736161683390483,598.1524711332254
0.0002,0.8,50,2590,40.34749034749035,-0.16278184149969988,0.8697802489340692,574.0157839734638
0.0002,0.8,55,2250,39.733333333333334,-0.19009288255007806,0.8495214902736569,582.2167428365805
0.0002,0.8,60,1810,39.28176795580111,-0.21059538926944923,0.8342281112741845,514.1944436970156
0.0002,1.0,45,2760,40.43478260869565,-0.1587419554702818,0.8736161683390483,598.1524711332254
0.0002,1.0,50,2590,40.34749034749035,-0.16278184149969988,0.8697802489340692,574.0157839734638
0.0002,1.0,55,2250,39.733333333333334,-0.19009288255007806,0.8495214902736569,582.2167428365805
0.0002,1.0,60,1810,39.28176795580111,-0.21059538926944923,0.8342281112741845,514.1944436970156
0.0002,1.2,45,2760,40.43478260869565,-0.1587419554702818,0.8736161683390483,598.1524711332254
0.0002,1.2,50,2590,40.34749034749035,-0.16278184149969988,0.8697802489340692,574.0157839734638
0.0002,1.2,55,2250,39.733333333333334,-0.19009288255007806,0.8495214902736569,582.2167428365805
0.0002,1.2,60,1810,39.28176795580111,-0.21059538926944923,0.8342281112741845,514.1944436970156
0.0002,1.4,45,2215,38.82618510158014,-0.2880142101950126,0.7848350602725165,733.9354350232097
0.0002,1.4,50,2091,38.83309421329507,-0.28600123809513706,0.7846122943475777,705.3263423867444
0.0002,1.4,55,1847,38.60314022739578,-0.2849773473511164,0.7852182091643568,618.5921219767874
0.0002,1.4,60,1495,38.19397993311037,-0.3126564966891731,0.7662725880680478,554.157869741517
0.0003,0.8,45,2309,40.23386747509745,-0.1792268705889091,0.8522073307785605,523.2486976188827
0.0003,0.8,50,2199,40.01819008640291,-0.18757845010221544,0.8455159450833964,513.5871355415381
0.0003,0.8,55,1943,39.526505404014415,-0.20892704880375537,0.8308538409597929,519.789121888265
0.0003,0.8,60,1601,38.788257339163025,-0.2536280863944975,0.7979542829897266,482.66772593436724
0.0003,1.0,45,2309,40.23386747509745,-0.1792268705889091,0.8522073307785605,523.2486976188827
0.0003,1.0,50,2199,40.01819008640291,-0.18757845010221544,0.8455159450833964,513.5871355415381
0.0003,1.0,55,1943,39.526505404014415,-0.20892704880375537,0.8308538409597929,519.789121888265
0.0003,1.0,60,1601,38.788257339163025,-0.2536280863944975,0.7979542829897266,482.66772593436724
0.0003,1.2,45,2309,40.23386747509745,-0.1792268705889091,0.8522073307785605,523.2486976188827
0.0003,1.2,50,2199,40.01819008640291,-0.18757845010221544,0.8455159450833964,513.5871355415381
0.0003,1.2,55,1943,39.526505404014415,-0.20892704880375537,0.8308538409597929,519.789121888265
0.0003,1.2,60,1601,38.788257339163025,-0.2536280863944975,0.7979542829897266,482.66772593436724
0.0003,1.4,45,1858,38.91280947255113,-0.2786206937268564,0.7839671091621968,584.5821714680072
0.0003,1.4,50,1780,38.651685393258425,-0.28495092737675576,0.7787665910192639,583.073210268165
0.0003,1.4,55,1599,38.524077548467794,-0.2809383867481505,0.7826210292526926,518.8224363834669
0.0003,1.4,60,1323,37.71730914588057,-0.3348076453991091,0.7453442779009543,496.94808107286394
0.0004,0.8,45,1948,39.32238193018481,-0.22021246098962613,0.8169788416235872,497.9133350267267
0.0004,0.8,50,1873,39.08168713294181,-0.23020713239204213,0.8093233821172675,496.6207481608042
0.0004,0.8,55,1674,38.649940262843494,-0.2307348163013108,0.8105386623142978,448.08691464675053
0.0004,0.8,60,1403,38.06129722024234,-0.27852432779911807,0.7739714998368231,419.8085635253028
0.0004,1.0,45,1948,39.32238193018481,-0.22021246098962613,0.8169788416235872,497.9133350267267
0.0004,1.0,50,1873,39.08168713294181,-0.23020713239204213,0.8093233821172675,496.6207481608042
0.0004,1.0,55,1674,38.649940262843494,-0.2307348163013108,0.8105386623142978,448.08691464675053
0.0004,1.0,60,1403,38.06129722024234,-0.27852432779911807,0.7739714998368231,419.8085635253028
0.0004,1.2,45,1948,39.32238193018481,-0.22021246098962613,0.8169788416235872,497.9133350267267
0.0004,1.2,50,1873,39.08168713294181,-0.23020713239204213,0.8093233821172675,496.6207481608042
0.0004,1.2,55,1674,38.649940262843494,-0.2307348163013108,0.8105386623142978,448.08691464675053
0.0004,1.2,60,1403,38.06129722024234,-0.27852432779911807,0.7739714998368231,419.8085635253028
0.0004,1.4,45,1577,38.36398224476854,-0.30568948913461763,0.7604338720858758,538.1081898907883
0.0004,1.4,50,1521,38.06706114398422,-0.313305073835697,0.7545543836671947,535.4795562747945
0.0004,1.4,55,1384,38.22254335260116,-0.28857524729158324,0.7723974199432132,442.7533657292006
0.0004,1.4,60,1165,37.42489270386266,-0.34379230998747595,0.7318131313947693,440.2556068147841
0.0005,0.8,45,1654,38.39177750906892,-0.25455505058765254,0.7850504218370409,455.7017508388768
0.0005,0.8,50,1596,38.22055137844612,-0.2710014693252004,0.7732915642315255,452.85679784025405
0.0005,0.8,55,1446,38.10511756569848,-0.26693038095287075,0.7771909633185413,406.3981861539848
0.0005,0.8,60,1233,37.87510137875101,-0.2840117772347759,0.7645865887466857,387.4438697861434
0.0005,1.0,45,1654,38.39177750906892,-0.25455505058765254,0.7850504218370409,455.7017508388768
0.0005,1.0,50,1596,38.22055137844612,-0.2710014693252004,0.7732915642315255,452.85679784025405
0.0005,1.0,55,1446,38.10511756569848,-0.26693038095287075,0.7771909633185413,406.3981861539848
0.0005,1.0,60,1233,37.87510137875101,-0.2840117772347759,0.7645865887466857,387.4438697861434
0.0005,1.2,45,1654,38.39177750906892,-0.25455505058765254,0.7850504218370409,455.7017508388768
0.0005,1.2,50,1596,38.22055137844612,-0.2710014693252004,0.7732915642315255,452.85679784025405
0.0005,1.2,55,1446,38.10511756569848,-0.26693038095287075,0.7771909633185413,406.3981861539848
0.0005,1.2,60,1233,37.87510137875101,-0.2840117772347759,0.7645865887466857,387.4438697861434
0.0005,1.4,45,1346,37.59286775631501,-0.3346281926993322,0.7335913139992677,485.7912929037656
0.0005,1.4,50,1300,37.30769230769231,-0.3513590341215846,0.7225204119185605,495.0551633337276
0.0005,1.4,55,1197,37.59398496240601,-0.32962904354990236,0.736847325559569,419.1862387001925
0.0005,1.4,60,1027,37.098344693281405,-0.3664961523623097,0.7101461939167993,417.82152132024703
